eclip_id	gt_out_folder	pos_bed	neg_bed	mode_settings	num_pos	min_pos	max_pos	mean_pos	median_pos	num_neg	min_neg	max_neg	mean_neg	median_neg
AATF_K562_ENCSR819XBT	rnaprot_gt_out/AATF_K562_ENCSR819XBT_varlen_ext20_gt_out	rnaprot_gt_out/pos_neg_fasta_out/AATF_K562_ENCSR819XBT.varlen_ext20.positives.bed	rnaprot_gt_out/pos_neg_fasta_out/AATF_K562_ENCSR819XBT.varlen_ext20.negatives.bed	--max-len 300 --mode 2 --seq-ext 20 --seed 1	708	61	232	99.79802259887006	95.0	708	61	229	100.19209039548022	96.0
ADAR_K562_ENCSR202LKI	rnaprot_gt_out/ADAR_K562_ENCSR202LKI_varlen_ext20_gt_out	rnaprot_gt_out/pos_neg_fasta_out/ADAR_K562_ENCSR202LKI.varlen_ext20.positives.bed	rnaprot_gt_out/pos_neg_fasta_out/ADAR_K562_ENCSR202LKI.varlen_ext20.negatives.bed	--max-len 300 --mode 2 --seq-ext 20 --seed 1	746	61	235	95.92761394101876	91.0	746	61	235	95.47721179624665	91.0
ADAT1_K562_ENCSR750YOM	rnaprot_gt_out/ADAT1_K562_ENCSR750YOM_varlen_ext20_gt_out	rnaprot_gt_out/pos_neg_fasta_out/ADAT1_K562_ENCSR750YOM.varlen_ext20.positives.bed	rnaprot_gt_out/pos_neg_fasta_out/ADAT1_K562_ENCSR750YOM.varlen_ext20.negatives.bed	--max-len 300 --mode 2 --seq-ext 20 --seed 1	668	61	276	119.02694610778443	117.0	668	61	254	118.18263473053892	115.5
AGGF1_HepG2_ENCSR543TPH	rnaprot_gt_out/AGGF1_HepG2_ENCSR543TPH_varlen_ext20_gt_out	rnaprot_gt_out/pos_neg_fasta_out/AGGF1_HepG2_ENCSR543TPH.varlen_ext20.positives.bed	rnaprot_gt_out/pos_neg_fasta_out/AGGF1_HepG2_ENCSR543TPH.varlen_ext20.negatives.bed	--max-len 300 --mode 2 --seq-ext 20 --seed 1	1752	61	280	110.98801369863014	104.0	1752	61	280	110.95947488584476	103.0
AGGF1_K562_ENCSR725ARB	rnaprot_gt_out/AGGF1_K562_ENCSR725ARB_varlen_ext20_gt_out	rnaprot_gt_out/pos_neg_fasta_out/AGGF1_K562_ENCSR725ARB.varlen_ext20.positives.bed	rnaprot_gt_out/pos_neg_fasta_out/AGGF1_K562_ENCSR725ARB.varlen_ext20.negatives.bed	--max-len 300 --mode 2 --seq-ext 20 --seed 1	3457	61	300	109.80300838877639	101	3457	61	283	110.71709574775817	102
AGO2_K562_ENCSR048YXG	rnaprot_gt_out/AGO2_K562_ENCSR048YXG_varlen_ext20_gt_out	rnaprot_gt_out/pos_neg_fasta_out/AGO2_K562_ENCSR048YXG.varlen_ext20.positives.bed	rnaprot_gt_out/pos_neg_fasta_out/AGO2_K562_ENCSR048YXG.varlen_ext20.negatives.bed	--max-len 300 --mode 2 --seq-ext 20 --seed 1	8187	61	291	109.1772321973861	107	8187	61	291	108.95150848906803	107
AKAP1_HepG2_ENCSR356ZMO	rnaprot_gt_out/AKAP1_HepG2_ENCSR356ZMO_varlen_ext20_gt_out	rnaprot_gt_out/pos_neg_fasta_out/AKAP1_HepG2_ENCSR356ZMO.varlen_ext20.positives.bed	rnaprot_gt_out/pos_neg_fasta_out/AKAP1_HepG2_ENCSR356ZMO.varlen_ext20.negatives.bed	--max-len 300 --mode 2 --seq-ext 20 --seed 1	3484	61	295	112.99425947187142	106.0	3484	61	295	112.93226176808267	106.0
AKAP1_K562_ENCSR177QQY	rnaprot_gt_out/AKAP1_K562_ENCSR177QQY_varlen_ext20_gt_out	rnaprot_gt_out/pos_neg_fasta_out/AKAP1_K562_ENCSR177QQY.varlen_ext20.positives.bed	rnaprot_gt_out/pos_neg_fasta_out/AKAP1_K562_ENCSR177QQY.varlen_ext20.negatives.bed	--max-len 300 --mode 2 --seq-ext 20 --seed 1	1181	61	296	108.7502116850127	102	1181	61	296	108.19475021168502	102
AKAP8L_K562_ENCSR206RXT	rnaprot_gt_out/AKAP8L_K562_ENCSR206RXT_varlen_ext20_gt_out	rnaprot_gt_out/pos_neg_fasta_out/AKAP8L_K562_ENCSR206RXT.varlen_ext20.positives.bed	rnaprot_gt_out/pos_neg_fasta_out/AKAP8L_K562_ENCSR206RXT.varlen_ext20.negatives.bed	--max-len 300 --mode 2 --seq-ext 20 --seed 1	1852	61	268	110.05669546436285	105.0	1852	61	268	110.02861771058315	105.0
APEX1_HepG2_ENCSR554GSW	rnaprot_gt_out/APEX1_HepG2_ENCSR554GSW_varlen_ext20_gt_out	rnaprot_gt_out/pos_neg_fasta_out/APEX1_HepG2_ENCSR554GSW.varlen_ext20.positives.bed	rnaprot_gt_out/pos_neg_fasta_out/APEX1_HepG2_ENCSR554GSW.varlen_ext20.negatives.bed	--max-len 300 --mode 2 --seq-ext 20 --seed 1	349	61	330	106.36103151862464	103	349	61	245	109.39541547277938	106
