Experiment,Sample,Cells,Input_replicate,Input_adapter_1,Input_adapter_2,Input_fastq_1,Input_fastq_2,CLIP_replicate,CLIP_adapter_1,CLIP_adapter_2,CLIP_fastq_1,CLIP_fastq_2,CLIP Experiment accession,Barcode 1,Barcode 2
BCCIP_HepG2,BCCIP,HepG2,1,fwd_encode3.fasta,RiL19.fasta,ENCFF996LKZ.fastq.gz,ENCFF371GVL.fastq.gz,1,fwd_encode3.fasta,A01_B06.fasta,ENCFF287LMI.fastq.gz,ENCFF292ANE.fastq.gz,ENCSR485QCG,A01,B06
CSTF2_HepG2,CSTF2,HepG2,1,fwd_encode3.fasta,RiL19.fasta,ENCFF413QVJ.fastq.gz,ENCFF900NQN.fastq.gz,1,fwd_encode3.fasta,A01_B06.fasta,ENCFF366XCA.fastq.gz,ENCFF180MDZ.fastq.gz,ENCSR384MWO,A01,B06
DKC1_HepG2,DKC1,HepG2,1,fwd_encode3.fasta,RiL19.fasta,ENCFF793DFG.fastq.gz,ENCFF734WRT.fastq.gz,1,fwd_encode3.fasta,A01_B06.fasta,ENCFF850VGF.fastq.gz,ENCFF565YYP.fastq.gz,ENCSR301TFY,A01,B06
DROSHA_HepG2,DROSHA,HepG2,1,fwd_encode3.fasta,RiL19.fasta,ENCFF687BMD.fastq.gz,ENCFF064NLH.fastq.gz,1,fwd_encode3.fasta,A01_B06.fasta,ENCFF744PVS.fastq.gz,ENCFF673CDP.fastq.gz,ENCSR834YLD,A01,B06
FAM120A_HepG2,FAM120A,HepG2,1,fwd_encode3.fasta,RiL19.fasta,ENCFF869DFG.fastq.gz,ENCFF903ZBT.fastq.gz,1,fwd_encode3.fasta,A01_B06.fasta,ENCFF545IVO.fastq.gz,ENCFF815UFF.fastq.gz,ENCSR987NYS,A01,B06
FKBP4_HepG2,FKBP4,HepG2,1,fwd_encode3.fasta,RiL19.fasta,ENCFF648UKF.fastq.gz,ENCFF143QIL.fastq.gz,1,fwd_encode3.fasta,A01_B06.fasta,ENCFF214SWU.fastq.gz,ENCFF437VVV.fastq.gz,ENCSR018ZUE,A01,B06
FUBP3_HepG2,FUBP3,HepG2,1,fwd_encode3.fasta,RiL19.fasta,ENCFF414YHF.fastq.gz,ENCFF024OZW.fastq.gz,1,fwd_encode3.fasta,A01_B06.fasta,ENCFF442NVV.fastq.gz,ENCFF938RNB.fastq.gz,ENCSR486YGP,A01,B06
HNRNPA1_HepG2,HNRNPA1,HepG2,1,fwd_encode3.fasta,RiL19.fasta,ENCFF854MYE.fastq.gz,ENCFF483JSE.fastq.gz,1,fwd_encode3.fasta,A01_B06.fasta,ENCFF068NOP.fastq.gz,ENCFF224UUW.fastq.gz,ENCSR769UEW,A01,B06
IGF2BP1_HepG2,IGF2BP1,HepG2,1,fwd_encode3.fasta,RiL19.fasta,ENCFF207TDD.fastq.gz,ENCFF389YBN.fastq.gz,1,fwd_encode3.fasta,A01_B06.fasta,ENCFF437VOG.fastq.gz,ENCFF539YWE.fastq.gz,ENCSR744GEU,A01,B06
IGF2BP3_HepG2,IGF2BP3,HepG2,1,fwd_encode3.fasta,RiL19.fasta,ENCFF742YFO.fastq.gz,ENCFF843CUY.fastq.gz,1,fwd_encode3.fasta,A01_B06.fasta,ENCFF518ZYS.fastq.gz,ENCFF333RHN.fastq.gz,ENCSR993OLA,A01,B06
