Experiment,Sample,Cells,Input_replicate,Input_adapter_1,Input_adapter_2,Input_fastq_1,Input_fastq_2,CLIP_replicate,CLIP_adapter_1,CLIP_adapter_2,CLIP_fastq_1,CLIP_fastq_2,CLIP Experiment accession,Barcode 1,Barcode 2
AKAP8L_K562,AKAP8L,K562,1,fwd_encode3.fasta,RiL19.fasta,ENCFF741GZP.fastq.gz,ENCFF534UAZ.fastq.gz,1,fwd_encode3.fasta,A01_B06.fasta,ENCFF941NZR.fastq.gz,ENCFF443KRX.fastq.gz,ENCSR206RXT,A01,B06
BUD13_K562,BUD13,K562,1,fwd_encode3.fasta,RiL19.fasta,ENCFF818MIM.fastq.gz,ENCFF593CTK.fastq.gz,1,fwd_encode3.fasta,A01_B06.fasta,ENCFF545BFR.fastq.gz,ENCFF912DJK.fastq.gz,ENCSR663WES,A01,B06
CPSF6_K562,CPSF6,K562,1,fwd_encode3.fasta,RiL19.fasta,ENCFF887HZS.fastq.gz,ENCFF523STK.fastq.gz,1,fwd_encode3.fasta,A01_B06.fasta,ENCFF776TRJ.fastq.gz,ENCFF394FNH.fastq.gz,ENCSR532VUB,A01,B06
CSTF2T_K562,CSTF2T,K562,1,fwd_encode3.fasta,RiL19.fasta,ENCFF271URZ.fastq.gz,ENCFF599GSZ.fastq.gz,1,fwd_encode3.fasta,A01_B06.fasta,ENCFF305FQD.fastq.gz,ENCFF251DNT.fastq.gz,ENCSR840DRD,A01,B06
DDX21_K562,DDX21,K562,1,fwd_encode3.fasta,RiL19.fasta,ENCFF790GSX.fastq.gz,ENCFF953OQX.fastq.gz,1,fwd_encode3.fasta,A01_B06.fasta,ENCFF671GCD.fastq.gz,ENCFF946SJB.fastq.gz,ENCSR040QLV,A01,B06
DDX24_K562,DDX24,K562,1,fwd_encode3.fasta,RiL19.fasta,ENCFF113HCY.fastq.gz,ENCFF739MOT.fastq.gz,1,fwd_encode3.fasta,A01_B06.fasta,ENCFF692JAV.fastq.gz,ENCFF661UCF.fastq.gz,ENCSR999WKT,A01,B06
DDX3X_K562,DDX3X,K562,1,fwd_encode3.fasta,RiL19.fasta,ENCFF006DQH.fastq.gz,ENCFF768GAB.fastq.gz,1,fwd_encode3.fasta,A01_B06.fasta,ENCFF151JUK.fastq.gz,ENCFF029BAQ.fastq.gz,ENCSR930BZL,A01,B06
DDX42_K562,DDX42,K562,1,fwd_encode3.fasta,RiL19.fasta,ENCFF409TRK.fastq.gz,ENCFF037AIE.fastq.gz,1,fwd_encode3.fasta,A01_B06.fasta,ENCFF196YUL.fastq.gz,ENCFF092NLI.fastq.gz,ENCSR576SHT,A01,B06
DDX6_K562,DDX6,K562,1,fwd_encode3.fasta,RiL19.fasta,ENCFF301TAX.fastq.gz,ENCFF510SNL.fastq.gz,1,fwd_encode3.fasta,A01_B06.fasta,ENCFF024VZT.fastq.gz,ENCFF163DCH.fastq.gz,ENCSR893EFU,A01,B06
DROSHA_K562,DROSHA,K562,1,fwd_encode3.fasta,RiL19.fasta,ENCFF018AVT.fastq.gz,ENCFF004HVL.fastq.gz,1,fwd_encode3.fasta,A01_B06.fasta,ENCFF073ILV.fastq.gz,ENCFF307CXZ.fastq.gz,ENCSR653HQC,A01,B06
EWSR1_K562,EWSR1,K562,1,fwd_encode3.fasta,RiL19.fasta,ENCFF110AGV.fastq.gz,ENCFF130YYP.fastq.gz,1,fwd_encode3.fasta,A01_B06.fasta,ENCFF797UGN.fastq.gz,ENCFF514NRD.fastq.gz,ENCSR887LPK,A01,B06
EXOSC5_K562,EXOSC5,K562,1,fwd_encode3.fasta,RiL19.fasta,ENCFF156NIJ.fastq.gz,ENCFF577TAB.fastq.gz,1,fwd_encode3.fasta,A01_B06.fasta,ENCFF609MDJ.fastq.gz,ENCFF293TAU.fastq.gz,ENCSR013CTQ,A01,B06
FASTKD2_K562,FASTKD2,K562,1,fwd_encode3.fasta,RiL19.fasta,ENCFF507IXS.fastq.gz,ENCFF197INO.fastq.gz,1,fwd_encode3.fasta,A01_B06.fasta,ENCFF724UQB.fastq.gz,ENCFF111XRA.fastq.gz,ENCSR887FHF,A01,B06
GNL3_K562,GNL3,K562,1,fwd_encode3.fasta,RiL19.fasta,ENCFF720COV.fastq.gz,ENCFF892UQR.fastq.gz,1,fwd_encode3.fasta,A01_B06.fasta,ENCFF424ZQP.fastq.gz,ENCFF509YYT.fastq.gz,ENCSR301UQM,A01,B06
GPKOW_K562,GPKOW,K562,1,fwd_encode3.fasta,RiL19.fasta,ENCFF821KVN.fastq.gz,ENCFF216XJZ.fastq.gz,1,fwd_encode3.fasta,A01_B06.fasta,ENCFF776RIX.fastq.gz,ENCFF062JEH.fastq.gz,ENCSR647CLF,A01,B06
HLTF_K562,HLTF,K562,1,fwd_encode3.fasta,RiL19.fasta,ENCFF767CEO.fastq.gz,ENCFF089OYZ.fastq.gz,1,fwd_encode3.fasta,A01_B06.fasta,ENCFF325PJW.fastq.gz,ENCFF442CAN.fastq.gz,ENCSR589YHM,A01,B06
HNRNPA1_K562,HNRNPA1,K562,1,fwd_encode3.fasta,RiL19.fasta,ENCFF895XZY.fastq.gz,ENCFF872NAM.fastq.gz,1,fwd_encode3.fasta,A01_B06.fasta,ENCFF107UYK.fastq.gz,ENCFF546OAU.fastq.gz,ENCSR154HRN,A01,B06
