target_name	split
SNRPA	train
HNRNPL	train
SRSF4	train
XRN2	train
ZFP36L1	train
ZC3H18	train
MBNL1	val
NOVA1	train
THUMPD1	test
RBM45	train
KHDRBS3	train
PCBP2	val
UNK	test
A1CF	test
RBM47	test
MSI1	train
CPEB1	train
RBM3	train
HNRNPA1L2	train
RBM4	test
RBM5	train
ZFP36	train
YBX2	val
RBM15B	train
RBM23	train
PRR3	train
RBFOX2	train
RBFOX3	train
DAZAP1	train
TARDBP	train
RALYL	val
PUM1	train
PCBP1	train
PUF60	train
FUS	train
CSDE1	test
EIF4G2	test
ZNF326	train
ESRP1	train
TRA2B	train
IGF2BP1	train
RC3H1	val
CELF1	train
EXOSC4	train
HNRNPC	train
HNRNPCL1	train
HNRNPK	train
XRCC6	test
HNRNPA0	train
HNRNPD	val
SRSF11	train
PCBP4	train
HNRNPDL	train
SAFB2	test
FUBP1	val
EIF3D	train
DAZ3	train
RBM11	train
RBM25	val
HNRNPA2B1	train
ZCRB1	train
RBM22	train
IGF2BP2	train
SRSF2	train
HNRNPH2	test
TRA2A	test
NUPL2	test
IGF2BP3	train
NSUN2	train
AKAP8L	train
SRSF5	train
CNOT4	train
SNRPB2	train
ILF2	train
SRSF9	train
SFPQ	train
ZRANB2	train
RBM4B	test
LIN28B	train
EWSR1	train
HNRNPF	train
FUBP3	val
RBM6	train
RBMS2	train
SF1	val
ELAVL4	train
PABPC3	val
TAF15	train
RBM24	train
SRSF8	train
BOLL	train
RBMS3	train
TIA1	train
KHDRBS2	train
SUCLG1	train
RBM41	train
