protein_key	protein_name	protocol	model	domain_class	domain_architecture	source	auroc	auprc	n_train	n_test	n_pos	n_neg	n_deduped_removed	split_mode
BOLL	BOLL	htr_selex	logistic_regression	unknown		computed	0.9503759398496241	0.9308937690189558	2395	599	1000	1994	0	honest_trainval_test
CELF1	CELF1-construct2	htr_selex	logistic_regression	unknown		computed	0.9378625	0.9070202686736182	2399	600	1000	1999	0	honest_trainval_test
DAZ3	DAZ3	htr_selex	logistic_regression	unknown		computed	0.9514625	0.9159409366910042	2400	600	1000	2000	0	honest_trainval_test
DAZAP1	DAZAP1	htr_selex	logistic_regression	RRM	RRM;RRM	computed	0.9031250000000001	0.8662662803309911	2399	600	1000	1999	0	honest_trainval_test
ELAVL1	ELAVL1	htr_selex	logistic_regression	RRM	RRM;RRM;RRM	computed	0.9997727272727273	0.9995369478542285	2380	596	1000	1976	0	honest_trainval_test
ELAVL4	ELAVL4	htr_selex	logistic_regression	unknown		computed	0.8235	0.7376903717702701	2397	600	1000	1997	0	honest_trainval_test
ESRP1	ESRP1-construct3	htr_selex	logistic_regression	RRM	RRM;RRM	computed	0.9987875	0.9976533960072813	2399	600	1000	1999	0	honest_trainval_test
HNRNPA0	HNRNPA0	htr_selex	logistic_regression	RRM	RRM;RRM	computed	0.9862000000000001	0.983917166798666	2399	600	1000	1999	0	honest_trainval_test
HNRNPA1	HNRNPA1	htr_selex	logistic_regression	RRM	RRM;RRM	computed	0.920525	0.8561678637319992	2399	600	1000	1999	0	honest_trainval_test
HNRNPA1L2	HNRNPA1L2	htr_selex	logistic_regression	RRM	RRM;RRM	computed	0.9870408163265306	0.9820642470853733	2365	592	1000	1957	0	honest_trainval_test
HNRNPC	HNRNPC	htr_selex	logistic_regression	RRM	RRM	computed	0.9757750000000001	0.9617061613992902	2399	600	1000	1999	0	honest_trainval_test
HNRNPCL1	HNRNPCL1	htr_selex	logistic_regression	RRM	RRM	computed	0.9887375	0.9810002874844611	2396	600	1000	1996	0	honest_trainval_test
HNRNPL	HNRNPL-construct2	htr_selex	logistic_regression	RRM	RRM;RRM;RRM;RRM	computed	0.972075	0.9644229681613807	2400	600	1000	2000	0	honest_trainval_test
HNRPLL	HNRPLL	htr_selex	logistic_regression	unknown		computed	0.8960253164556963	0.8248324512245028	2379	595	1000	1974	0	honest_trainval_test
IGF2BP1	IGF2BP1	htr_selex	logistic_regression	unknown		computed	0.904375	0.8264145269218006	2396	600	1000	1996	0	honest_trainval_test
KHDRBS1	KHDRBS1	htr_selex	logistic_regression	KH	KH	computed	0.9639375	0.9383924078355613	2399	600	1000	1999	0	honest_trainval_test
KHDRBS2	KHDRBS2	htr_selex	logistic_regression	KH	KH	computed	0.9557644110275688	0.9247771246229648	2392	599	1000	1991	0	honest_trainval_test
KHDRBS3	KHDRBS3	htr_selex	logistic_regression	KH	KH	computed	0.92755	0.8776604500904785	2399	600	1000	1999	0	honest_trainval_test
MEX3C	MEX3C	htr_selex	logistic_regression	KH	KH	computed	0.9500879396984925	0.9027185711960658	2388	598	1000	1986	0	honest_trainval_test
MSI1	MSI1	htr_selex	logistic_regression	RRM	RRM;RRM	computed	0.9458625	0.9237526236425494	2396	600	1000	1996	0	honest_trainval_test
PABPC5	PABPC5	htr_selex	logistic_regression	RRM	RRM;RRM;RRM;RRM	computed	0.9256875	0.8722310762268398	2400	600	1000	2000	0	honest_trainval_test
PCBP1	PCBP1	htr_selex	logistic_regression	KH	KH;KH;KH	computed	0.9600124999999999	0.9283652254099986	2399	600	1000	1999	0	honest_trainval_test
PUM1	PUM1	htr_selex	logistic_regression	unknown		computed	0.8508270676691729	0.713886831887279	2394	599	1000	1993	0	honest_trainval_test
QKI	QKI	htr_selex	logistic_regression	KH	KH	computed	0.9480000000000001	0.9271971736545733	2400	600	1000	2000	0	honest_trainval_test
RALY	RALY	htr_selex	logistic_regression	RRM	RRM	computed	0.9560875	0.9429228726585527	2400	600	1000	2000	0	honest_trainval_test
RBFOX1	RBFOX1	htr_selex	logistic_regression	unknown		computed	0.9627721518987342	0.9449080475778444	2377	595	1000	1972	0	honest_trainval_test
RBFOX3	RBFOX3	htr_selex	logistic_regression	unknown		computed	0.97465	0.957939213541404	2398	600	1000	1998	0	honest_trainval_test
RBM14	RBM14	htr_selex	logistic_regression	RRM	RRM;RRM	computed	0.949425	0.9019595116687581	2396	600	1000	1996	0	honest_trainval_test
RBM24	RBM24	htr_selex	logistic_regression	RRM	RRM	computed	0.9953680203045685	0.9918409938206354	2372	594	1000	1966	0	honest_trainval_test
RBM28	RBM28	htr_selex	logistic_regression	RRM	RRM;RRM;RRM;RRM	computed	0.882825	0.7893151768997112	2397	600	1000	1997	0	honest_trainval_test
RBM38	RBM38	htr_selex	logistic_regression	RRM	RRM	computed	0.9847	0.9787875098079947	2399	600	1000	1999	0	honest_trainval_test
RBM4	RBM4	htr_selex	logistic_regression	multi	RRM;RRM;CCHC	computed	0.95255	0.9340015840158156	2400	600	1000	2000	0	honest_trainval_test
RBM42	RBM42	htr_selex	logistic_regression	RRM	RRM	computed	0.995175	0.9962466665831791	2398	600	1000	1998	0	honest_trainval_test
RBM46	RBM46	htr_selex	logistic_regression	RRM	RRM;RRM;RRM	computed	0.942925	0.9081373099438412	2396	600	1000	1996	0	honest_trainval_test
RBM4B	RBM4B	htr_selex	logistic_regression	unknown		computed	0.9549625	0.9213216038150368	2400	600	1000	2000	0	honest_trainval_test
RBM6	RBM6	htr_selex	logistic_regression	RRM	RRM;RRM	computed	0.9057125	0.858023591581998	2400	600	1000	2000	0	honest_trainval_test
RBMS1	RBMS1	htr_selex	logistic_regression	RRM	RRM;RRM	computed	0.9091035353535353	0.8365300589485147	2384	596	1000	1980	0	honest_trainval_test
RBMS2	RBMS2	htr_selex	logistic_regression	unknown		computed	0.8961500000000001	0.8268718507129993	2400	600	1000	2000	0	honest_trainval_test
RBMS3	RBMS3	htr_selex	logistic_regression	RRM	RRM;RRM	computed	0.8800125313283207	0.8257073158173162	2395	599	1000	1994	0	honest_trainval_test
RBPMS2	RBPMS2	htr_selex	logistic_regression	RRM	RRM	computed	0.996875	0.9928347528025717	2396	600	1000	1996	0	honest_trainval_test
RC3H1	RC3H1-construct2	htr_selex	logistic_regression	unknown		computed	0.9102875	0.8895721588833699	2399	600	1000	1999	0	honest_trainval_test
RNPC3	RNPC3	htr_selex	logistic_regression	RRM	RRM;RRM	computed	0.943625	0.9030812038194284	2396	600	1000	1996	0	honest_trainval_test
SART3	SART3	htr_selex	logistic_regression	RRM	RRM;RRM	computed	0.9302756892230577	0.8922311014233035	2394	599	1000	1993	0	honest_trainval_test
SNRNP70	SNRNP70	htr_selex	logistic_regression	RRM	RRM	computed	0.9637874999999999	0.9420242742488343	2396	600	1000	1996	0	honest_trainval_test
SNRPA	SNRPA	htr_selex	logistic_regression	RRM	RRM;RRM	computed	0.9765624999999999	0.9664125872185597	2399	600	1000	1999	0	honest_trainval_test
SNRPB2	SNRPB2	htr_selex	logistic_regression	RRM	RRM;RRM	computed	0.9210175879396985	0.8780782512864539	2388	598	1000	1986	0	honest_trainval_test
TARDBP	TARDBP	htr_selex	logistic_regression	RRM	RRM;RRM	computed	0.9921375	0.9926772214714753	2400	600	1000	2000	0	honest_trainval_test
THUMPD1	THUMPD1	htr_selex	logistic_regression	unknown		computed	0.9387624999999999	0.8748079881081777	2400	600	1000	2000	0	honest_trainval_test
YBX1	YBX1	htr_selex	logistic_regression	CSD	CSD	computed	0.9317375	0.9054623828332964	2399	600	1000	1999	0	honest_trainval_test
YBX2	YBX2	htr_selex	logistic_regression	CSD	CSD	computed	0.8887499999999999	0.8340195335948474	2399	600	1000	1999	0	honest_trainval_test
ZC3H10	ZC3H10	htr_selex	logistic_regression	CCCH	CCCH;CCCH;CCCH	computed	0.971025	0.9573320110380035	2400	600	1000	2000	0	honest_trainval_test
ZCRB1	ZCRB1	htr_selex	logistic_regression	multi	RRM;CCHC	computed	0.9131874999999999	0.8558946576141272	2400	600	1000	2000	0	honest_trainval_test
ZFP36	ZFP36	htr_selex	logistic_regression	unknown		computed	0.943675	0.9146396171175324	2400	600	1000	2000	0	honest_trainval_test
ZRANB2	ZRANB2	htr_selex	logistic_regression	unknown		computed	0.9960249999999999	0.9922329000042204	2400	600	1000	2000	0	honest_trainval_test
A1CF	A1CF	rbns	logistic_regression	RRM	RRM;RRM;RRM	computed	0.9919250000000001	0.9801904789972302	2400	600	1000	2000	0	honest_trainval_test
BOLL	BOLL	rbns	logistic_regression	unknown		computed	0.9967874999999999	0.9932309420422931	2400	600	1000	2000	0	honest_trainval_test
CELF1	CELF1	rbns	logistic_regression	unknown		computed	0.9966999999999999	0.9924551384810727	2400	600	1000	2000	0	honest_trainval_test
CNOT4	CNOT4	rbns	logistic_regression	RRM	RRM	computed	0.9938875	0.9808794210353606	2400	600	1000	2000	0	honest_trainval_test
CPEB1	CPEB1	rbns	logistic_regression	RRM	RRM;RRM	computed	0.9907999999999999	0.9770089219408531	2400	600	1000	2000	0	honest_trainval_test
DAZ3	DAZ3	rbns	logistic_regression	unknown		computed	0.98365	0.9493143110164007	2400	600	1000	2000	0	honest_trainval_test
DAZAP1	DAZAP1	rbns	logistic_regression	RRM	RRM;RRM	computed	0.970825	0.8886391259813325	2400	600	1000	2000	0	honest_trainval_test
ELAVL4	ELAVL4	rbns	logistic_regression	unknown		computed	0.9963249999999999	0.993880512264377	2400	600	1000	2000	0	honest_trainval_test
ESRP1	ESRP1	rbns	logistic_regression	RRM	RRM;RRM	computed	0.9951	0.9792406357567797	2400	600	1000	2000	0	honest_trainval_test
FUBP1	FUBP1	rbns	logistic_regression	KH	KH;KH;KH;KH	computed	0.996375	0.9882465501433398	2400	600	1000	2000	0	honest_trainval_test
FUS	FUS	rbns	logistic_regression	RRM	RRM	computed	0.9936125	0.9769660004516059	2400	600	1000	2000	0	honest_trainval_test
HNRNPA0	HNRNPA0	rbns	logistic_regression	RRM	RRM;RRM	computed	0.9903749999999999	0.9607224578427287	2400	600	1000	2000	0	honest_trainval_test
HNRNPA1L2	HNRNPA1L2	rbns	logistic_regression	RRM	RRM;RRM	computed	0.8693375	0.7430829218121101	2400	600	1000	2000	0	honest_trainval_test
HNRNPA2B1	HNRNPA2B1	rbns	logistic_regression	RRM	RRM;RRM	computed	0.9957125	0.9831537607174746	2400	600	1000	2000	0	honest_trainval_test
HNRNPC	HNRNPC	rbns	logistic_regression	RRM	RRM	computed	0.991825	0.9878204622392199	2400	600	1000	2000	0	honest_trainval_test
HNRNPCL1	HNRNPCL1	rbns	logistic_regression	RRM	RRM	computed	0.99905	0.9981296757028338	2400	600	1000	2000	0	honest_trainval_test
HNRNPH2	HNRNPH2	rbns	logistic_regression	RRM	RRM;RRM;RRM	computed	0.9971375	0.9927291363579438	2400	600	1000	2000	0	honest_trainval_test
HNRNPK	HNRNPK	rbns	logistic_regression	KH	KH;KH;KH	computed	0.9950749999999999	0.9879133540602132	2400	600	1000	2000	0	honest_trainval_test
HNRNPL	HNRNPL	rbns	logistic_regression	RRM	RRM;RRM;RRM;RRM	computed	0.994175	0.9873767916132862	2400	600	1000	2000	0	honest_trainval_test
IGF2BP1	IGF2BP1	rbns	logistic_regression	unknown		computed	0.9896875	0.9639908334440128	2400	600	1000	2000	0	honest_trainval_test
IGF2BP2	IGF2BP2	rbns	logistic_regression	multi	RRM;RRM;KH;KH;KH;KH	computed	0.989575	0.962310937473575	2400	600	1000	2000	0	honest_trainval_test
IGF2BP3	IGF2BP3	rbns	logistic_regression	multi	RRM;RRM;KH;KH;KH;KH	computed	0.8630429292929291	0.7609851472908384	2380	596	1000	1976	0	honest_trainval_test
KHDRBS2	KHDRBS2	rbns	logistic_regression	KH	KH	computed	0.994725	0.9887847660593636	2400	600	1000	2000	0	honest_trainval_test
KHDRBS3	KHDRBS3	rbns	logistic_regression	KH	KH	computed	0.9917250000000001	0.9821204922746324	2400	600	1000	2000	0	honest_trainval_test
MBNL1	MBNL1	rbns	logistic_regression	CCCH	CCCH;CCCH;CCCH;CCCH	computed	0.9949	0.9791569041294063	2400	600	1000	2000	0	honest_trainval_test
MSI1	MSI1	rbns	logistic_regression	RRM	RRM;RRM	computed	0.9959375	0.9902415497264089	2400	600	1000	2000	0	honest_trainval_test
PABPC3	PABPC3	rbns	logistic_regression	RRM	RRM;RRM;RRM;RRM	computed	0.9889625	0.9666306438820383	2400	600	1000	2000	0	honest_trainval_test
PCBP1	PCBP1	rbns	logistic_regression	KH	KH;KH;KH	computed	0.9991375	0.998327587789513	2400	600	1000	2000	0	honest_trainval_test
PCBP2	PCBP2	rbns	logistic_regression	KH	KH;KH;KH	computed	0.994	0.980359709785268	2400	600	1000	2000	0	honest_trainval_test
PRR3	PRR3	rbns	logistic_regression	CCCH	CCCH	computed	0.9760569105691057	0.9414288297825936	2274	569	1000	1843	0	honest_trainval_test
PUF60	PUF60	rbns	logistic_regression	RRM	RRM;RRM;RRM	computed	0.9962375	0.9917909560386551	2400	600	1000	2000	0	honest_trainval_test
PUM1	PUM1	rbns	logistic_regression	unknown		computed	0.987	0.9503227177528145	2400	600	1000	2000	0	honest_trainval_test
RBFOX2	RBFOX2	rbns	logistic_regression	RRM	RRM	computed	0.9906375000000001	0.974637037745245	2400	600	1000	2000	0	honest_trainval_test
RBFOX3	RBFOX3	rbns	logistic_regression	unknown		computed	0.995725	0.9736893378617909	2400	600	1000	2000	0	honest_trainval_test
RBM24	RBM24	rbns	logistic_regression	RRM	RRM	computed	0.9938125	0.9824437837705122	2400	600	1000	2000	0	honest_trainval_test
RBM3	RBM3	rbns	logistic_regression	RRM	RRM	computed	0.9158375	0.7858890791090064	2400	600	1000	2000	0	honest_trainval_test
RBM4	RBM4	rbns	logistic_regression	multi	RRM;RRM;CCHC	computed	0.9901249999999999	0.9572719899464366	2400	600	1000	2000	0	honest_trainval_test
RBM41	RBM41	rbns	logistic_regression	RRM	RRM	computed	0.99605	0.9915267655645725	2400	600	1000	2000	0	honest_trainval_test
RBM45	RBM45	rbns	logistic_regression	RRM	RRM;RRM;RRM	computed	0.99905	0.9981654722973956	2400	600	1000	2000	0	honest_trainval_test
RBM47	RBM47	rbns	logistic_regression	RRM	RRM;RRM;RRM	computed	0.9865375000000001	0.9624809010404138	2400	600	1000	2000	0	honest_trainval_test
RBM4B	RBM4B	rbns	logistic_regression	unknown		computed	0.9939	0.9850493869303488	2400	600	1000	2000	0	honest_trainval_test
RBM5	RBM5	rbns	logistic_regression	multi	RRM;RanBP;RRM	computed	0.9963875	0.9870531485923804	2400	600	1000	2000	0	honest_trainval_test
RBM6	RBM6	rbns	logistic_regression	RRM	RRM;RRM	computed	0.9974125	0.9936444364510701	2400	600	1000	2000	0	honest_trainval_test
RBMS2	RBMS2	rbns	logistic_regression	unknown		computed	0.9909875	0.9760540099393287	2400	600	1000	2000	0	honest_trainval_test
RBMS3	RBMS3	rbns	logistic_regression	RRM	RRM;RRM	computed	0.9920749999999999	0.9821834921181372	2400	600	1000	2000	0	honest_trainval_test
RC3H1	RC3H1	rbns	logistic_regression	unknown		computed	0.9799375	0.927149313402861	2400	600	1000	2000	0	honest_trainval_test
SF1	SF1	rbns	logistic_regression	KH	KH	computed	0.9880625000000001	0.9586439197912037	2400	600	1000	2000	0	honest_trainval_test
SFPQ	SFPQ	rbns	logistic_regression	RRM	RRM;RRM	computed	0.9873375000000001	0.9684527430386464	2400	600	1000	2000	0	honest_trainval_test
SNRPA	SNRPA	rbns	logistic_regression	RRM	RRM;RRM	computed	0.983875	0.9432629036030252	2400	600	1000	2000	0	honest_trainval_test
SNRPB2	SNRPB2	rbns	logistic_regression	RRM	RRM;RRM	computed	0.9971875	0.9935079441519941	2400	600	1000	2000	0	honest_trainval_test
SRSF2	SRSF2	rbns	logistic_regression	RRM	RRM	computed	0.986475	0.9405620875927941	2400	600	1000	2000	0	honest_trainval_test
SRSF9	SRSF9	rbns	logistic_regression	RRM	RRM;RRM	computed	0.9967874999999999	0.9919830829975551	2400	600	1000	2000	0	honest_trainval_test
TARDBP	TARDBP	rbns	logistic_regression	RRM	RRM;RRM	computed	0.9915625	0.974457146267629	2400	600	1000	2000	0	honest_trainval_test
THUMPD1	THUMPD1	rbns	logistic_regression	unknown		computed	0.99645	0.986731410646559	2400	600	1000	2000	0	honest_trainval_test
TIA1	TIA1	rbns	logistic_regression	RRM	RRM;RRM;RRM	computed	0.9933875	0.9848218158676906	2400	600	1000	2000	0	honest_trainval_test
TRA2B	TRA2B	rbns	logistic_regression	RRM	RRM	computed	0.9712624999999999	0.9152233692698972	2400	600	1000	2000	0	honest_trainval_test
