protein_key	protocol	protein_name_native	is_representative	assign_rule
A1CF	rbns	A1CF	1	exact_base
A1CF	rnacompete_eukarya	A1CF	1	exact_base
BOLL	htr_selex	BOLL	1	exact_base
BOLL	rbns	BOLL	1	exact_base
CELF1	htr_selex	CELF1-construct2	1	exact_base
CELF1	rbns	CELF1	1	exact_base
CNOT4	rbns	CNOT4	1	exact_base
CNOT4	rnacompete_eukarya	CNOT4	1	exact_base
CPEB1	rbns	CPEB1	1	exact_base
CPEB1	rnacompete_rbpzoo	CPEB1	1	exact_base
DAZ3	htr_selex	DAZ3	1	exact_base
DAZ3	rbns	DAZ3	1	exact_base
DAZAP1	htr_selex	DAZAP1	1	exact_base
DAZAP1	rbns	DAZAP1	1	exact_base
DAZAP1	rnacompete_eukarya	DAZAP1	1	exact_base
ELAVL1	htr_selex	ELAVL1	1	exact_base
ELAVL1	rnacompete_eukarya	HuR	1	synonym
ELAVL4	htr_selex	ELAVL4	1	exact_base
ELAVL4	rbns	ELAVL4	1	exact_base
ESRP1	htr_selex	ESRP1-construct3	1	exact_base
ESRP1	rbns	ESRP1	1	exact_base
ESRP1	rnacompete_rbpzoo	ESRP1	1	exact_base
FMR1	rnacompete_eukarya	FMR1	1	exact_base
FMR1	rnacompete_rbpzoo	fmr1	1	exact_base
FUBP1	rbns	FUBP1	1	exact_base
FUBP1	rnacompete_rbpzoo	FUBP1	1	exact_base
FUS	rbns	FUS	1	exact_base
FUS	rnacompete_eukarya	FUS	1	exact_base
HNRNPA0	htr_selex	HNRNPA0	1	exact_base
HNRNPA0	rbns	HNRNPA0	1	exact_base
HNRNPA0	rnacompete_rbpzoo	hnrnpa0	1	exact_base
HNRNPA1	htr_selex	HNRNPA1	1	exact_base
HNRNPA1	rnacompete_eukarya	HNRNPA1	1	exact_base
HNRNPA1L2	htr_selex	HNRNPA1L2	1	exact_base
HNRNPA1L2	rbns	HNRNPA1L2	1	exact_base
HNRNPA1L2	rnacompete_eukarya	HNRNPA1L2	1	exact_base
HNRNPA2B1	rbns	HNRNPA2B1	1	exact_base
HNRNPA2B1	rnacompete_eukarya	HNRNPA2B1	1	exact_base
HNRNPC	htr_selex	HNRNPC	1	exact_base
HNRNPC	rbns	HNRNPC	1	exact_base
HNRNPC	rnacompete_eukarya	HNRNPC	1	exact_base
HNRNPCL1	htr_selex	HNRNPCL1	1	exact_base
HNRNPCL1	rbns	HNRNPCL1	1	exact_base
HNRNPCL1	rnacompete_eukarya	HNRNPCL1	1	exact_base
HNRNPH2	rbns	HNRNPH2	1	exact_base
HNRNPH2	rnacompete_eukarya	HNRNPH2	1	exact_base
HNRNPK	rbns	HNRNPK	1	exact_base
HNRNPK	rnacompete_eukarya	HNRNPK	1	exact_base
HNRNPL	htr_selex	HNRNPL-construct2	1	exact_base
HNRNPL	rbns	HNRNPL	1	exact_base
HNRNPL	rnacompete_eukarya	HNRNPL	1	exact_base
HNRPLL	htr_selex	HNRPLL	1	exact_base
HNRPLL	rnacompete_eukarya	HNRPLL	1	exact_base
IGF2BP1	htr_selex	IGF2BP1	1	exact_base
IGF2BP1	htr_selex	IGF2BP1-construct4	0	exact_base
IGF2BP1	rbns	IGF2BP1	1	exact_base
IGF2BP2	rbns	IGF2BP2	1	exact_base
IGF2BP2	rnacompete_eukarya	IGF2BP2	1	exact_base
IGF2BP3	rbns	IGF2BP3	1	exact_base
IGF2BP3	rnacompete_eukarya	IGF2BP3	1	exact_base
KHDRBS1	htr_selex	KHDRBS1	1	exact_base
KHDRBS1	rnacompete_eukarya	KHDRBS1	1	exact_base
KHDRBS2	htr_selex	KHDRBS2	1	exact_base
KHDRBS2	rbns	KHDRBS2	1	exact_base
KHDRBS2	rnacompete_eukarya	KHDRBS2	1	exact_base
KHDRBS3	htr_selex	KHDRBS3	1	exact_base
KHDRBS3	rbns	KHDRBS3	1	exact_base
KHDRBS3	rnacompete_eukarya	KHDRBS3	1	exact_base
MBNL1	rbns	MBNL1	1	exact_base
MBNL1	rnacompete_eukarya	MBNL1	1	exact_base
MEX3C	htr_selex	MEX3C	1	exact_base
MEX3C	rnacompete_rbpzoo	mex3c	1	exact_base
MSI1	htr_selex	MSI1	1	exact_base
MSI1	rbns	MSI1	1	exact_base
MSI1	rnacompete_eukarya	MSI1	1	exact_base
PABPC3	rbns	PABPC3	1	exact_base
PABPC3	rnacompete_eukarya	PABPC3	1	exact_base
PABPC4	rnacompete_eukarya	PABPC4	1	exact_base
PABPC4	rnacompete_rbpzoo	pabpc4	1	exact_base
PABPC5	htr_selex	PABPC5	1	exact_base
PABPC5	rnacompete_eukarya	PABPC5	1	exact_base
PCBP1	htr_selex	PCBP1	1	exact_base
PCBP1	rbns	PCBP1	1	exact_base
PCBP1	rnacompete_eukarya	PCBP1	1	exact_base
PCBP2	rbns	PCBP2	1	exact_base
PCBP2	rnacompete_eukarya	PCBP2	1	exact_base
PCBP2	rnacompete_eukarya	Pcbp2	0	exact_base
PRR3	rbns	PRR3	1	exact_base
PRR3	rnacompete_rbpzoo	PRR3	1	exact_base
PUF60	rbns	PUF60	1	exact_base
PUF60	rnacompete_rbpzoo	PUF60	1	exact_base
PUM1	htr_selex	PUM1	1	exact_base
PUM1	rbns	PUM1	1	exact_base
QKI	htr_selex	QKI	1	exact_base
QKI	rnacompete_eukarya	QKI	1	exact_base
RALY	htr_selex	RALY	1	exact_base
RALY	rnacompete_eukarya	RALY	1	exact_base
RBFOX1	htr_selex	RBFOX1	1	exact_base
RBFOX1	htr_selex	RBFOX1-construct2	0	exact_base
RBFOX1	htr_selex	RBFOX1-construct4	0	exact_base
RBFOX1	rnacompete_eukarya	RBFOX1	1	exact_base
RBFOX2	rbns	RBFOX2	1	exact_base
RBFOX2	rnacompete_rbpzoo	RBFOX2	1	exact_base
RBFOX3	htr_selex	RBFOX3	1	exact_base
RBFOX3	rbns	RBFOX3	1	exact_base
RBM14	htr_selex	RBM14	1	exact_base
RBM14	rnacompete_rbpzoo	rbm14	1	exact_base
RBM24	htr_selex	RBM24	1	exact_base
RBM24	rbns	RBM24	1	exact_base
RBM24	rnacompete_eukarya	RBM24	1	exact_base
RBM24	rnacompete_eukarya	Rbm24	0	exact_base
RBM24	rnacompete_rbpzoo	RBM24	1	exact_base
RBM28	htr_selex	RBM28	1	exact_base
RBM28	rnacompete_eukarya	RBM28	1	exact_base
RBM28	rnacompete_rbpzoo	rbm-28	1	exact_base
RBM3	rbns	RBM3	1	exact_base
RBM3	rnacompete_eukarya	RBM3	1	exact_base
RBM38	htr_selex	RBM38	1	exact_base
