protein	dataset	auroc	auprc	n	is_flagged
ESRP1-construct3	htr_selex_25907	0.94481975	0.8159419228982332	3000	0
KHDRBS3	htr_selex_25907	0.9169186250000001	0.8543818746400066	6000	0
PUF60	rbns	0.8518150000000001	0.7432656802262854	3000	0
RBM28	htr_selex_25907	0.8359865	0.7311297767319797	3000	0
TRA2A	rbns	0.825839	0.692637665067821	3000	0
PUM2	htr_selex_25907	0.8179952500000002	0.6918568393374913	6000	0
LARP7-construct4	htr_selex_25907	0.801649	0.5901835190557897	3000	0
HNRNPA0	htr_selex_25907	0.7846636250000001	0.7096314656148613	6000	0
PCBP1	htr_selex_25907	0.7762969722222222	0.6306487645549651	9000	0
DAZAP1	htr_selex_25907	0.7578271875	0.6382998282070251	6000	0
TAF15	rbns	0.7431690000000001	0.4877032891866179	3000	0
MEX3D-construct3	htr_selex_25907	0.7128105	0.6859663633889421	3000	0
CSDA	htr_selex_25907	0.665863	0.4380540227335577	3000	0
NUPL2	rbns	0.6574725990233314	0.4644280975660389	2843	0
SRSF8	rbns	0.65210925	0.44425828016407265	3000	0
IGF2BP2	rbns	0.6409570000000001	0.4361821659563071	3000	0
LARP6	htr_selex_25907	0.6100823125	0.40587551949498685	6000	0
ZC3H18	rbns	0.5535825	0.3502031135890884	3000	0
UNK	rbns	0.5525105	0.3481733766783786	3000	0
IGF2BP1	htr_selex_25907	0.5480630624999999	0.4376424242988634	6000	0
RBM6	htr_selex_25907	0.517929625	0.38084147645797595	6000	0
SNRNP70	htr_selex_25907	0.502367	0.3591527406087838	3000	0
PRR3	rbns	0.45241155724362453	0.3048324241582274	2843	0
IGF2BP3	rbns	0.4050931174089069	0.27436772039244944	2976	0
