protein_name	best_model	auroc	auprc	val_auroc	val_auprc	accuracy	f1	n_train	n_val	n_test	n_pos	n_neg	n_deduped_removed	rna_length_mode	split_mode	dataset
BOLL	random_forest	0.941275	0.91710842713728	0.9552	0.9285249038363096	0.89	0.835	1800	600	600	1000	2000	0	40.0	honest_60_20_20	htr_selex
CARHSP1	random_forest	0.8883500000000001	0.8246595971089368	0.8717875	0.8185577486867033	0.835	0.7428571428571429	1800	600	600	1000	2000	0	40.0	honest_60_20_20	htr_selex
CELF1-construct2	random_forest	0.9470875	0.9247545521045965	0.9375	0.9162169356593082	0.895	0.8421052631578947	1800	600	600	1000	2000	0	40.0	honest_60_20_20	htr_selex
CELF3-construct2	logistic_regression	0.9985625	0.9975713264742472	0.9993375	0.9986824761317444	0.985	0.977667493796526	1800	600	600	1000	2000	0	40.0	honest_60_20_20	htr_selex
CELF4	logistic_regression	0.997575	0.9963876691671024	0.9996125	0.9991953098538858	0.9933333333333332	0.9899497487437184	1800	600	600	1000	2000	0	40.0	honest_60_20_20	htr_selex
CELF4-construct2	logistic_regression	0.99865	0.9978731006351974	1.0	1.0	0.9933333333333332	0.99	1800	600	600	1000	2000	0	40.0	honest_60_20_20	htr_selex
CSDA	random_forest	0.8749375	0.8186804231662628	0.8938375	0.8553497923893179	0.8266666666666667	0.7189189189189189	1800	600	600	1000	2000	0	40.0	honest_60_20_20	htr_selex
CSTF2	logistic_regression	0.96815	0.9523653864760084	0.9713	0.954281856824193	0.9116666666666666	0.8752941176470588	1800	600	600	1000	2000	0	40.0	honest_60_20_20	htr_selex
CSTF2T	random_forest	0.9539375	0.9498104526238784	0.969275	0.9618848276693048	0.935	0.8976377952755905	1800	600	600	1000	2000	0	40.0	honest_60_20_20	htr_selex
DAZ1	random_forest	0.9443875	0.913670189111185	0.945975	0.9025024983984216	0.9016666666666666	0.8571428571428571	1800	600	600	1000	2000	0	40.0	honest_60_20_20	htr_selex
DAZ1-construct2	random_forest	0.9085875	0.8445240399424794	0.9458625	0.9095653660890684	0.8433333333333334	0.7729468599033816	1800	600	600	1000	2000	0	40.0	honest_60_20_20	htr_selex
DAZ1-construct3	random_forest	0.9128125	0.8845064950477664	0.9081	0.8715138073133694	0.8833333333333333	0.8066298342541437	1800	600	600	1000	2000	0	40.0	honest_60_20_20	htr_selex
DAZ3	random_forest	0.9702	0.961877832756054	0.9804	0.9704301018141408	0.9316666666666666	0.8906666666666667	1800	600	600	1000	2000	0	40.0	honest_60_20_20	htr_selex
DAZ4	random_forest	0.954375	0.9327628763409432	0.964425	0.9432634431742126	0.8916666666666667	0.8337595907928389	1800	600	600	1000	2000	0	40.0	honest_60_20_20	htr_selex
DAZAP1	random_forest	0.9116999999999998	0.8853229203246218	0.916675	0.8852542763070266	0.875	0.7851002865329513	1800	600	600	1000	2000	0	40.0	honest_60_20_20	htr_selex
DAZL	random_forest	0.959925	0.9416524832934268	0.94705	0.9214369810549184	0.9016666666666666	0.855036855036855	1800	600	600	1000	2000	0	40.0	honest_60_20_20	htr_selex
ELAVL1	logistic_regression	0.9999875	0.9999751243781094	0.9993125	0.9985234089822744	0.9966666666666668	0.9950248756218906	1800	600	600	1000	2000	0	40.0	honest_60_20_20	htr_selex
ELAVL3	random_forest	0.990175	0.9807756234158198	0.9897	0.9811637817421548	0.9533333333333334	0.9330143540669856	1800	600	600	1000	2000	0	40.0	honest_60_20_20	htr_selex
ELAVL4	random_forest	0.8157749999999999	0.7475240936907958	0.8616874999999999	0.7991536020917459	0.7533333333333333	0.6318407960199005	1800	600	600	1000	2000	0	40.0	honest_60_20_20	htr_selex
ESRP1-construct3	random_forest	0.9982125	0.9959637724792132	0.9931875	0.9909685295667702	0.9833333333333332	0.9754901960784312	1800	600	600	1000	2000	0	40.0	honest_60_20_20	htr_selex
HEXIM1	random_forest	0.995425	0.9920461020201368	0.9781125	0.9736166051696048	0.9683333333333334	0.9521410579345088	1800	600	600	1000	2000	0	40.0	honest_60_20_20	htr_selex
HEXIM2	random_forest	0.984725	0.9780237890721876	0.9829375	0.977954150910028	0.9683333333333334	0.9516539440203562	1800	600	600	1000	2000	0	40.0	honest_60_20_20	htr_selex
HNRNPA0	random_forest	0.982075	0.9805340542952086	0.98645	0.9820623586656392	0.9733333333333334	0.958974358974359	1800	600	600	1000	2000	0	40.0	honest_60_20_20	htr_selex
HNRNPA1	random_forest	0.91545	0.8758951453499915	0.9087375	0.8505230531802509	0.8533333333333334	0.7832512315270936	1800	600	600	1000	2000	0	40.0	honest_60_20_20	htr_selex
HNRNPA1L2	random_forest	0.9868625	0.9871478058269212	0.989325	0.9851279685784036	0.9666666666666668	0.9507389162561576	1800	600	600	1000	2000	0	40.0	honest_60_20_20	htr_selex
HNRNPA3	random_forest	0.9573125	0.9275970945181048	0.9581125	0.9277803037623992	0.9066666666666666	0.8672985781990521	1800	600	600	1000	2000	0	40.0	honest_60_20_20	htr_selex
HNRNPC	random_forest	0.9869875	0.978892146559764	0.9868875	0.9857783347325304	0.9383333333333334	0.9033942558746736	1800	600	600	1000	2000	0	40.0	honest_60_20_20	htr_selex
HNRNPCL1	random_forest	0.988525	0.9860668142481244	0.9826875	0.97802530885907	0.96	0.9414634146341464	1800	600	600	1000	2000	0	40.0	honest_60_20_20	htr_selex
HNRNPL-construct2	random_forest	0.9713375	0.9688195377225992	0.9717375	0.9656894030516724	0.9333333333333332	0.9014778325123152	1800	600	600	1000	2000	0	40.0	honest_60_20_20	htr_selex
