protein_name	model	val_auroc	val_auprc	test_auroc	test_auprc	n_train	n_val	n_test	n_pos	n_neg	n_deduped_removed
BOLL	logistic_regression	0.9541000000000001	0.9335977483060439	0.945275	0.9225299187174177	1800	600	600	1000	2000	0
BOLL	random_forest	0.9552	0.9285249038363096	0.9412750000000001	0.91710842713728	1800	600	600	1000	2000	0
CARHSP1	logistic_regression	0.8694750000000001	0.8001425625647632	0.8897375000000001	0.8172263602130101	1800	600	600	1000	2000	0
CARHSP1	random_forest	0.8717875	0.8185577486867033	0.8883500000000001	0.8246595971089368	1800	600	600	1000	2000	0
CELF1-construct2	logistic_regression	0.9183375	0.8839157050900899	0.9293	0.8938679808753662	1800	600	600	1000	2000	0
CELF1-construct2	random_forest	0.9374999999999999	0.9162169356593082	0.9470875000000001	0.9247545521045963	1800	600	600	1000	2000	0
CELF3-construct2	logistic_regression	0.9993375	0.9986824761317443	0.9985625	0.9975713264742473	1800	600	600	1000	2000	0
CELF3-construct2	random_forest	0.9990125	0.9980946691628632	0.9992125000000001	0.9984385795120276	1800	600	600	1000	2000	0
CELF4	logistic_regression	0.9996125	0.9991953098538858	0.997575	0.9963876691671025	1800	600	600	1000	2000	0
CELF4	random_forest	0.9994999999999999	0.9989232428146514	0.9943500000000001	0.994603695239396	1800	600	600	1000	2000	0
CELF4-construct2	logistic_regression	1.0	1.0	0.99865	0.9978731006351974	1800	600	600	1000	2000	0
CELF4-construct2	random_forest	1.0	1.0	0.9984125	0.997554415188894	1800	600	600	1000	2000	0
CSDA	logistic_regression	0.8691125	0.8103330317752403	0.8589749999999999	0.7826964921104231	1800	600	600	1000	2000	0
CSDA	random_forest	0.8938375	0.8553497923893179	0.8749375	0.8186804231662628	1800	600	600	1000	2000	0
CSTF2	logistic_regression	0.9712999999999999	0.954281856824193	0.9681500000000001	0.9523653864760083	1800	600	600	1000	2000	0
CSTF2	random_forest	0.9636125000000001	0.9511009283288181	0.9696000000000001	0.960240529246079	1800	600	600	1000	2000	0
CSTF2T	logistic_regression	0.9586	0.944565189382394	0.9477	0.9316745486845667	1800	600	600	1000	2000	0
CSTF2T	random_forest	0.9692749999999999	0.9618848276693049	0.9539374999999999	0.9498104526238785	1800	600	600	1000	2000	0
DAZ1	logistic_regression	0.921025	0.8615600875292729	0.9199875	0.851050834569216	1800	600	600	1000	2000	0
DAZ1	random_forest	0.945975	0.9025024983984217	0.9443874999999999	0.913670189111185	1800	600	600	1000	2000	0
DAZ1-construct2	logistic_regression	0.9122874999999999	0.8489275102031641	0.8870874999999999	0.8029979152669912	1800	600	600	1000	2000	0
DAZ1-construct2	random_forest	0.9458625	0.9095653660890685	0.9085875000000001	0.8445240399424794	1800	600	600	1000	2000	0
DAZ1-construct3	logistic_regression	0.8935749999999999	0.8516557591622856	0.902675	0.8514814913411626	1800	600	600	1000	2000	0
DAZ1-construct3	random_forest	0.9080999999999999	0.8715138073133694	0.9128125	0.8845064950477664	1800	600	600	1000	2000	0
DAZ3	logistic_regression	0.9502125	0.9107385466208595	0.944725	0.9043641144052597	1800	600	600	1000	2000	0
