protein_name	model	val_auroc	val_auprc	test_auroc	test_auprc	n_train	n_val	n_test	n_pos	n_neg	n_deduped_removed
A1CF	logistic_regression	0.9824999999999999	0.9553276288818218	0.9907937499999999	0.9760772880839562	1800	600	600	1000	2000	0
A1CF	random_forest	0.9857625	0.9566324369991037	0.9940625000000001	0.9858384612704427	1800	600	600	1000	2000	0
AKAP8L	logistic_regression	0.9965875	0.9909564076243778	0.9971125	0.9926891718211877	1800	600	600	1000	2000	0
AKAP8L	random_forest	0.9961000000000001	0.9719040706850074	0.9955875000000001	0.9833323037325741	1800	600	600	1000	2000	0
BOLL	logistic_regression	0.99775	0.9951859708232228	0.995325	0.9903017147982386	1800	600	600	1000	2000	0
BOLL	random_forest	0.998275	0.9958427783724577	0.9983875	0.9963377412001655	1800	600	600	1000	2000	0
CELF1	logistic_regression	0.98533125	0.9442249105849194	0.998	0.9959660467407174	1800	600	600	1000	2000	0
CELF1	random_forest	0.9852624999999999	0.9444222083812268	0.9998875	0.999771534352706	1800	600	600	1000	2000	0
CNOT4	logistic_regression	0.9770062500000001	0.9263683582505267	0.9900749999999999	0.965943477215264	1800	600	600	1000	2000	0
CNOT4	random_forest	0.9883125	0.9599655434161269	0.9945375000000001	0.9867415373218512	1800	600	600	1000	2000	0
CPEB1	logistic_regression	0.9937	0.9863471032227095	0.9894875000000001	0.9748370765203209	1800	600	600	1000	2000	0
CPEB1	random_forest	0.9960125000000001	0.98986919454223	0.994	0.9833432108888149	1800	600	600	1000	2000	0
CSDE1	logistic_regression	0.9947625	0.9904020183805313	0.9968125	0.9928916472184703	1800	600	600	1000	2000	0
CSDE1	random_forest	0.9988375	0.9973944018527732	0.9985625	0.9966768809077948	1800	600	600	1000	2000	0
DAZ3	logistic_regression	0.9812375	0.9480075721801502	0.98355	0.9560412973110863	1800	600	600	1000	2000	0
DAZ3	random_forest	0.992175	0.9671088947846747	0.986775	0.9587095972895496	1800	600	600	1000	2000	0
DAZAP1	logistic_regression	0.9824625	0.9492669148275845	0.970125	0.8926279162203546	1800	600	600	1000	2000	0
DAZAP1	random_forest	0.981175	0.9364664696461169	0.976675	0.9256753007874599	1800	600	600	1000	2000	0
EIF3D	logistic_regression	0.9848250000000001	0.9344781710660672	0.988825	0.9713693531136656	1800	600	600	1000	2000	0
EIF3D	random_forest	0.99015	0.9537862925637266	0.9918250000000001	0.9642451550862823	1800	600	600	1000	2000	0
EIF4G2	logistic_regression	0.9970625000000001	0.9913338511858671	0.9956	0.9796539258399477	1800	600	600	1000	2000	0
EIF4G2	random_forest	0.9971	0.9858949974531457	0.996075	0.9850332532806907	1800	600	600	1000	2000	0
ELAVL4	logistic_regression	0.99376875	0.9855835332960485	0.9939625000000001	0.9909759009692632	1800	600	600	1000	2000	0
ELAVL4	random_forest	0.9972875	0.9936650768412357	0.9983125	0.9958171166684328	1800	600	600	1000	2000	0
ESRP1	logistic_regression	0.998325	0.9963848608315893	0.99529375	0.9811414879695581	1800	600	600	1000	2000	0
ESRP1	random_forest	0.9988	0.9969295608482356	0.9926125	0.963678152438424	1800	600	600	1000	2000	0
EWSR1	logistic_regression	0.9989125	0.9978442838558039	0.9956375	0.9837991839012605	1800	600	600	1000	2000	0
EWSR1	random_forest	0.99995	0.9999019607843137	0.9962624999999999	0.9874759994947047	1800	600	600	1000	2000	0
EXOSC4	logistic_regression	0.998825	0.9973449349664347	0.9975312500000001	0.9871915384463658	1800	600	600	1000	2000	0
EXOSC4	random_forest	1.0	1.0	0.998175	0.9938017346936537	1800	600	600	1000	2000	0
FUBP1	logistic_regression	0.99398125	0.9735190579818946	0.9967125	0.9899044224037192	1800	600	600	1000	2000	0
FUBP1	random_forest	0.9935625	0.9789587319734082	0.995775	0.9825062628749461	1800	600	600	1000	2000	0
FUBP3	logistic_regression	0.9935124999999999	0.9827856392534629	0.993375	0.9837596691551349	1800	600	600	1000	2000	0
FUBP3	random_forest	0.9942375	0.9859734461977658	0.9943625	0.9874865271665725	1800	600	600	1000	2000	0
FUS	logistic_regression	0.9951875	0.9780640118481579	0.9937250000000001	0.9786856327084977	1800	600	600	1000	2000	0
FUS	random_forest	0.990525	0.9666034700068495	0.9945875	0.9826311702156592	1800	600	600	1000	2000	0
HNRNPA0	logistic_regression	0.99073125	0.9714633565797576	0.9881749999999999	0.9524500970461016	1800	600	600	1000	2000	0
HNRNPA0	random_forest	0.9978250000000001	0.9940700839485481	0.9934375	0.9791248992338594	1800	600	600	1000	2000	0
HNRNPA1L2	logistic_regression	0.86435	0.7257153031120185	0.8470374999999999	0.7277774428207316	1800	600	600	1000	2000	0
HNRNPA1L2	random_forest	0.8923	0.7397090519641758	0.900925	0.7911027237942969	1800	600	600	1000	2000	0
HNRNPA2B1	logistic_regression	0.999575	0.9991343453340993	0.996275	0.9864463111314921	1800	600	600	1000	2000	0
HNRNPA2B1	random_forest	0.9988875	0.99708583053091	0.9959375	0.9808944037725531	1800	600	600	1000	2000	0
HNRNPC	logistic_regression	0.9945	0.9908466479385213	0.988725	0.9844230214878362	1800	600	600	1000	2000	0
HNRNPC	random_forest	0.9956125	0.9887119892456138	0.9977125	0.9949773858576155	1800	600	600	1000	2000	0
HNRNPCL1	logistic_regression	0.995725	0.9910661056502793	0.9991	0.9982597756590368	1800	600	600	1000	2000	0
HNRNPCL1	random_forest	0.9964999999999999	0.9914728370427486	1.0	1.0	1800	600	600	1000	2000	0
HNRNPD	logistic_regression	0.9895125	0.9726641816117707	0.989425	0.9744651230660236	1800	600	600	1000	2000	0
HNRNPD	random_forest	0.9940625000000001	0.9835632255424613	0.9921125000000001	0.9713910598868096	1800	600	600	1000	2000	0
HNRNPDL	logistic_regression	0.9830875	0.9505150944513892	0.98575	0.9615497754815268	1800	600	600	1000	2000	0
HNRNPDL	random_forest	0.9895	0.9663716807662428	0.9879375	0.9665555646127902	1800	600	600	1000	2000	0
HNRNPF	logistic_regression	0.99665	0.9917263534752249	0.9928250000000001	0.9818903230410334	1800	600	600	1000	2000	0
HNRNPF	random_forest	0.99675	0.9869296190071345	0.995425	0.9834279507934776	1800	600	600	1000	2000	0
HNRNPH2	logistic_regression	0.9995499999999999	0.9990556090752389	0.9967625	0.992144282282658	1800	600	600	1000	2000	0
HNRNPH2	random_forest	0.9985750000000001	0.9958292691390902	0.9975375000000001	0.9929550109978663	1800	600	600	1000	2000	0
HNRNPK	logistic_regression	0.9960874999999999	0.9898973863412591	0.99378125	0.9849635814001352	1800	600	600	1000	2000	0
HNRNPK	random_forest	0.9977375	0.9885736679232207	0.9974625	0.9932753334483462	1800	600	600	1000	2000	0
HNRNPL	logistic_regression	0.9865375	0.9720755648214968	0.9917	0.9826038834870267	1800	600	600	1000	2000	0
HNRNPL	random_forest	0.994575	0.9831871830619603	0.995525	0.9888698785724133	1800	600	600	1000	2000	0
IGF2BP1	logistic_regression	0.97975	0.9475033655265443	0.9869249999999999	0.9561184493759467	1800	600	600	1000	2000	0
IGF2BP1	random_forest	0.9912	0.9689977868490194	0.997225	0.9923675159601586	1800	600	600	1000	2000	0
IGF2BP2	logistic_regression	0.9894437500000001	0.9662377406338907	0.98584375	0.9527330770259343	1800	600	600	1000	2000	0
IGF2BP2	random_forest	0.99505	0.9851843512685425	0.994	0.9813832861139765	1800	600	600	1000	2000	0
IGF2BP3	logistic_regression	0.8576582278481013	0.729828163235822	0.8423737373737373	0.7319738310038413	1785	595	596	1000	1976	0
IGF2BP3	random_forest	0.9153164556962026	0.8140920012657444	0.8977272727272727	0.7793712836830939	1785	595	596	1000	1976	0
ILF2	logistic_regression	0.9969250000000001	0.9923422250822846	0.996925	0.9875597501254268	1800	600	600	1000	2000	0
ILF2	random_forest	0.994925	0.9822453427758572	0.9975875	0.9928199250138504	1800	600	600	1000	2000	0
KHDRBS2	logistic_regression	0.98236875	0.964889754028325	0.9909625	0.9818100117787357	1800	600	600	1000	2000	0
KHDRBS2	random_forest	0.9960625	0.9911118427926656	0.9978625	0.9953028244154644	1800	600	600	1000	2000	0
KHDRBS3	logistic_regression	0.9812875000000001	0.9560151899490104	0.9907875	0.9790720513093467	1800	600	600	1000	2000	0
KHDRBS3	random_forest	0.99215	0.9799023854056217	0.9914999999999999	0.9776632039177933	1800	600	600	1000	2000	0
LIN28B	logistic_regression	0.9959749999999999	0.9902145009409012	0.985925	0.9617618588953379	1800	600	600	1000	2000	0
LIN28B	random_forest	0.9956125	0.9889302633660387	0.9881	0.9573117740550565	1800	600	600	1000	2000	0
MBNL1	logistic_regression	0.9950749999999999	0.9838023816741909	0.9954625	0.9842575420981678	1800	600	600	1000	2000	0
MBNL1	random_forest	0.9962	0.988606187969542	0.9968625000000001	0.988391759270753	1800	600	600	1000	2000	0
MSI1	logistic_regression	0.9942624999999999	0.9800679147272358	0.996125	0.9910092922472712	1800	600	600	1000	2000	0
MSI1	random_forest	0.9953	0.9863429193326876	0.9996750000000001	0.9993410952057633	1800	600	600	1000	2000	0
NOVA1	logistic_regression	0.9918250000000001	0.9823099357658137	0.9935875000000001	0.9830740329371528	1800	600	600	1000	2000	0
NOVA1	random_forest	0.998075	0.9952120915932515	0.999125	0.998237155399538	1800	600	600	1000	2000	0
NSUN2	logistic_regression	0.9996666666666666	0.9997994747375891	0.9994166666666666	0.9996491983768558	960	320	320	1000	600	0
NSUN2	random_forest	1.0	1.0	1.0	1.0	960	320	320	1000	600	0
NUPL2	logistic_regression	0.9840379403794037	0.9639563304070355	0.9768089430894309	0.938481658436226	1705	569	569	1000	1843	0
NUPL2	random_forest	0.988130081300813	0.9596550521024299	0.9837533875338753	0.9529153811874703	1705	569	569	1000	1843	0
