protein_name	best_model	auroc	auprc	val_auroc	val_auprc	accuracy	f1	n_train	n_val	n_test	n_pos	n_neg	n_deduped_removed	rna_length_mode	split_mode	dataset
A1CF	random_forest	0.9940625000000001	0.9858384612704427	0.9857625	0.9566324369991037	0.9816666666666667	0.9732360097323601	1800	600	600	1000	2000	0		honest_60_20_20	rbns
AKAP8L	logistic_regression	0.9971125	0.9926891718211877	0.9965875	0.9909564076243778	0.9866666666666667	0.9802955665024631	1800	600	600	1000	2000	0		honest_60_20_20	rbns
BOLL	random_forest	0.9983875	0.9963377412001655	0.998275	0.9958427783724577	0.9933333333333333	0.9900990099009901	1800	600	600	1000	2000	0		honest_60_20_20	rbns
CELF1	logistic_regression	0.998	0.9959660467407174	0.98533125	0.9442249105849194	0.9766666666666667	0.9651741293532339	1800	600	600	1000	2000	0		honest_60_20_20	rbns
CNOT4	random_forest	0.9945375000000001	0.9867415373218512	0.9883125	0.9599655434161269	0.9766666666666667	0.966183574879227	1800	600	600	1000	2000	0		honest_60_20_20	rbns
CPEB1	random_forest	0.994	0.9833432108888149	0.9960125000000001	0.98986919454223	0.9833333333333333	0.975609756097561	1800	600	600	1000	2000	0		honest_60_20_20	rbns
CSDE1	random_forest	0.9985625	0.9966768809077948	0.9988375	0.9973944018527732	0.9733333333333334	0.9615384615384616	1800	600	600	1000	2000	0		honest_60_20_20	rbns
DAZ3	random_forest	0.986775	0.9587095972895496	0.992175	0.9671088947846747	0.975	0.963855421686747	1800	600	600	1000	2000	0		honest_60_20_20	rbns
DAZAP1	logistic_regression	0.970125	0.8926279162203546	0.9824625	0.9492669148275845	0.9433333333333334	0.9166666666666666	1800	600	600	1000	2000	0		honest_60_20_20	rbns
EIF3D	random_forest	0.9918250000000001	0.9642451550862823	0.99015	0.9537862925637266	0.9816666666666667	0.9732360097323601	1800	600	600	1000	2000	0		honest_60_20_20	rbns
