protein_name	model	val_auroc	val_auprc	test_auroc	test_auprc	n_train	n_val	n_test	n_pos	n_neg	n_deduped_removed
A1CF	logistic_regression	0.9957913893266224	0.9927268766792889	0.9937043202403372	0.9864988357549637	5092	1693	1734	4582	10074	0
A1CF	random_forest	0.9972246395559424	0.9945311986214977	0.9975772912743252	0.9957031677695278	5092	1693	1734	4582	10074	0
A2BP1	logistic_regression	0.9953057061749384	0.9881442119715039	0.9953219856266083	0.9868215768645232	4462	1468	1512	3733	8184	0
A2BP1	random_forest	0.9983309177510893	0.9953333447423494	0.997691180266982	0.9933182981250355	4462	1468	1512	3733	8184	0
ANKHD1	logistic_regression	0.9909550159552368	0.9753719809853845	0.9929475126896561	0.9797836778924545	10015	3347	3397	9110	19700	0
ANKHD1	random_forest	0.9931878651804578	0.9827931693700931	0.9932483970054478	0.9793669491556583	10015	3347	3397	9110	19700	0
ARET	logistic_regression	0.9891533926325004	0.9692440434182023	0.9938096658711217	0.9829143888585189	5051	1666	1699	4865	10637	0
ARET	random_forest	0.9921892059541363	0.9733475233010198	0.9933938693317422	0.9806424357077751	5051	1666	1699	4865	10637	0
ASD-1	logistic_regression	0.9945899265643379	0.9896877054904734	0.9944024778973958	0.9876947583910973	5620	1883	1929	5206	11258	0
ASD-1	random_forest	0.9988028405665319	0.997456857460896	0.9977915438744211	0.9942029760262939	5620	1883	1929	5206	11258	0
An_0265	logistic_regression	0.9784566480808097	0.9569146721433147	0.9822312178105161	0.9617526795393397	6686	2186	2222	5772	12423	0
An_0265	random_forest	0.9812344551670952	0.9597269773394473	0.9830312762007426	0.9633362766549233	6686	2186	2222	5772	12423	0
An_0287	logistic_regression	0.9745115384118703	0.9548956710283247	0.9799497894671223	0.9632290507338105	3535	1156	1235	3047	6538	0
An_0287	random_forest	0.9803549982566473	0.9619546163780854	0.9864216211314938	0.9710791433876501	3535	1156	1235	3047	6538	0
At_0284	logistic_regression	0.9962807686596473	0.9894894390421353	0.9939040839265643	0.9878838536776403	5564	1804	1903	5840	12538	0
At_0284	random_forest	0.9982333651133325	0.9961075089751901	0.996193330835519	0.9916363059071602	5564	1804	1903	5840	12538	0
B52	logistic_regression	0.9995583454842449	0.9990795477474993	0.999596932328206	0.9991486790388945	8091	2658	2668	7294	15944	0
B52	random_forest	0.9990049783556813	0.9979245572380026	0.9990862090620378	0.9980174514841772	8091	2658	2668	7294	15944	0
BRU-3	logistic_regression	0.993478959726218	0.9776268066392837	0.9952543254740086	0.9861159599515787	4753	1635	1628	4744	10330	0
BRU-3	random_forest	0.9950130827734666	0.9839053692887016	0.9955795108805005	0.9854385382828704	4753	1635	1628	4744	10330	0
BRUNOL4	logistic_regression	0.9956910159747305	0.9902016807184627	0.9988063660477453	0.9973808287011967	5053	1704	1680	5058	10964	0
BRUNOL4	random_forest	0.9946265196393502	0.9868964328129123	0.9978133289124669	0.9951297389892877	5053	1704	1680	5058	10964	0
BRUNOL5	logistic_regression	0.997687409333258	0.9932838660928739	0.9979361345620932	0.9942849049460459	5485	1829	1787	5074	11072	0
BRUNOL5	random_forest	0.9979213373776195	0.9937185803439472	0.9976203518721403	0.9929502561285368	5485	1829	1787	5074	11072	0
BRUNOL6	logistic_regression	0.9771865345690849	0.9510634089558112	0.9840404094682823	0.9658975614007724	3893	1314	1319	3874	8337	0
BRUNOL6	random_forest	0.9818951741770534	0.958866103170212	0.990053467315081	0.9742112299629667	3893	1314	1319	3874	8337	0
CG11360	logistic_regression	0.9484984432410961	0.8974534222567934	0.9469242767663474	0.8881195399100079	3654	1241	1234	3237	7014	0
CG11360	random_forest	0.9188966580796664	0.8469471841686101	0.9227352489581049	0.8319146658958321	3654	1241	1234	3237	7014	0
CG14718	logistic_regression	0.994689913675602	0.9876571787499848	0.9946019924557501	0.9866484575725407	4617	1490	1545	3960	8736	0
CG14718	random_forest	0.9957405724670605	0.9899747846062505	0.995026598317052	0.9858720774506011	4617	1490	1545	3960	8736	0
CG17838	logistic_regression	0.9872617081185302	0.9765493469441447	0.9784204220920664	0.9435490985239331	2657	858	858	2302	4977	0
CG17838	random_forest	0.9938748038114944	0.9889093727603485	0.9940280265259693	0.9899390769533809	2657	858	858	2302	4977	0
CG2931	logistic_regression	0.9948957171348409	0.9898306856390654	0.9952951766142719	0.9918428741494234	4371	1431	1477	3751	8209	0
CG2931	random_forest	0.9957915018760775	0.9918063549613856	0.995505337288055	0.9904956487383751	4371	1431	1477	3751	8209	0
CG2950	logistic_regression	0.9954174667060532	0.9859206294067289	0.9935476144255397	0.9805925277481593	5261	1759	1743	4268	9446	0
CG2950	random_forest	0.9970152376732393	0.9925969205519476	0.9941386069171952	0.9811423630744175	5261	1759	1743	4268	9446	0
CG33714	logistic_regression	0.9638876380758604	0.9118663227614884	0.9633725564225186	0.9175415018807694	2851	964	970	2938	6223	0
CG33714	random_forest	0.9665838350483369	0.9278665220091654	0.9729056548368151	0.9333080461094914	2851	964	970	2938	6223	0
CG5213	logistic_regression	0.9663249701760613	0.9536494444585161	0.9665415219741049	0.9541923480117597	3616	1236	1185	3634	7979	0
CG5213	random_forest	0.9678061590770193	0.9520999272881902	0.9703102361842559	0.958967980846164	3616	1236	1185	3634	7979	0
CG7804	logistic_regression	0.9962797255512359	0.9925611272481312	0.9963214760116725	0.9925846547438404	6560	2156	2097	6015	12946	0
CG7804	random_forest	0.9972648853355774	0.9942161278539764	0.9973851834032361	0.9945992260270213	6560	2156	2097	6015	12946	0
CG7903	logistic_regression	0.9647618353817815	0.9248416497066652	0.9626804461942258	0.9165312282867607	3515	1148	1149	2959	6362	0
CG7903	random_forest	0.9807435467812826	0.9462394732967807	0.9797134733158355	0.9617089886336517	3515	1148	1149	2959	6362	0
CNOT4	logistic_regression	0.9850345622727132	0.9644262805038583	0.9850321224488573	0.9664483512507747	7440	2486	2473	6232	13453	0
CNOT4	random_forest	0.9905316166287494	0.9750972583902201	0.9915641115535939	0.9788077426044666	7440	2486	2473	6232	13453	0
CPEB2	logistic_regression	0.9904153632904557	0.9780040352121949	0.9929123875612169	0.9873729920240228	3998	1342	1378	3588	7747	0
CPEB2	random_forest	0.9910686067374908	0.9798502036738861	0.9942404457454624	0.9878660116472042	3998	1342	1378	3588	7747	0
CPEB4	logistic_regression	0.9979809253496732	0.9943678932565646	0.998550648532269	0.9959702087451137	5816	1981	1938	4865	10688	0
