protein_name	best_model	auroc	auprc	val_auroc	val_auprc	accuracy	f1	n_train	n_val	n_test	n_pos	n_neg	n_deduped_removed	rna_length_mode	split_mode	dataset
A1CF	random_forest	0.9975772912743252	0.9957031677695278	0.9972246395559424	0.9945311986214977	0.9677047289504037	0.96	5092	1693	1734	4582	10074	0	38	honest_60_20_20	rnacompete_eukarya
A2BP1	random_forest	0.997691180266982	0.9933182981250355	0.9983309177510893	0.9953333447423494	0.9854497354497355	0.9763440860215054	4462	1468	1512	3733	8184	0	38	honest_60_20_20	rnacompete_eukarya
ANKHD1	random_forest	0.9932483970054478	0.9793669491556583	0.9931878651804578	0.9827931693700931	0.9558433912275537	0.9242424242424242	10015	3347	3397	9110	19700	0	38	honest_60_20_20	rnacompete_eukarya
ARET	random_forest	0.9933938693317422	0.9806424357077751	0.9921892059541363	0.9733475233010198	0.9493819894055326	0.9054945054945055	5051	1666	1699	4865	10637	0	38	honest_60_20_20	rnacompete_eukarya
ASD-1	random_forest	0.9977915438744211	0.9942029760262939	0.9988028405665319	0.997456857460896	0.9891135303265941	0.9840546697038725	5620	1883	1929	5206	11258	0	38	honest_60_20_20	rnacompete_eukarya
An_0265	random_forest	0.9830312762007426	0.9633362766549233	0.9812344551670952	0.9597269773394473	0.9239423942394239	0.8868050904219692	6686	2186	2222	5772	12423	0	38	honest_60_20_20	rnacompete_eukarya
An_0287	random_forest	0.9864216211314938	0.9710791433876501	0.9803549982566473	0.9619546163780854	0.9433198380566802	0.9263157894736842	3535	1156	1235	3047	6538	0	38	honest_60_20_20	rnacompete_eukarya
At_0284	random_forest	0.996193330835519	0.9916363059071602	0.9982333651133325	0.9961075089751901	0.9668943772990016	0.9519450800915332	5564	1804	1903	5840	12538	0	38	honest_60_20_20	rnacompete_eukarya
B52	logistic_regression	0.999596932328206	0.9991486790388945	0.9995583454842449	0.9990795477474993	0.9910044977511244	0.986159169550173	8091	2658	2668	7294	15944	0	38	honest_60_20_20	rnacompete_eukarya
BRU-3	random_forest	0.9955795108805005	0.9854385382828704	0.9950130827734666	0.9839053692887016	0.9643734643734644	0.931924882629108	4753	1635	1628	4744	10330	0	38	honest_60_20_20	rnacompete_eukarya
BRUNOL4	logistic_regression	0.9988063660477453	0.9973808287011967	0.9956910159747305	0.9902016807184627	0.9839285714285714	0.9741626794258373	5053	1704	1680	5058	10964	0	38	honest_60_20_20	rnacompete_eukarya
BRUNOL5	random_forest	0.9976203518721403	0.9929502561285368	0.9979213373776195	0.9937185803439472	0.9736989367655288	0.9524772497472194	5485	1829	1787	5074	11072	0	38	honest_60_20_20	rnacompete_eukarya
BRUNOL6	random_forest	0.990053467315081	0.9742112299629667	0.9818951741770534	0.958866103170212	0.9507202426080363	0.9246813441483198	3893	1314	1319	3874	8337	0	38	honest_60_20_20	rnacompete_eukarya
CG11360	logistic_regression	0.9469242767663474	0.8881195399100079	0.9484984432410961	0.8974534222567934	0.8808752025931929	0.8213851761846902	3654	1241	1234	3237	7014	0	38	honest_60_20_20	rnacompete_eukarya
CG14718	random_forest	0.995026598317052	0.9858720774506011	0.9957405724670605	0.9899747846062505	0.968284789644013	0.9523809523809523	4617	1490	1545	3960	8736	0	38	honest_60_20_20	rnacompete_eukarya
CG17838	random_forest	0.9940280265259693	0.9899390769533809	0.9938748038114944	0.9889093727603485	0.9638694638694638	0.947008547008547	2657	858	858	2302	4977	0	38	honest_60_20_20	rnacompete_eukarya
CG2931	random_forest	0.995505337288055	0.9904956487383751	0.9957915018760775	0.9918063549613856	0.964116452268111	0.9525514771709938	4371	1431	1477	3751	8209	0	38	honest_60_20_20	rnacompete_eukarya
CG2950	random_forest	0.9941386069171952	0.9811423630744175	0.9970152376732393	0.9925969205519476	0.9650028686173264	0.9449954914337241	5261	1759	1743	4268	9446	0	38	honest_60_20_20	rnacompete_eukarya
CG33714	random_forest	0.9729056548368151	0.9333080461094914	0.9665838350483369	0.9278665220091654	0.9010309278350516	0.840531561461794	2851	964	970	2938	6223	0	38	honest_60_20_20	rnacompete_eukarya
CG5213	random_forest	0.9703102361842559	0.958967980846164	0.9678061590770193	0.9520999272881902	0.90042194092827	0.8982758620689655	3616	1236	1185	3634	7979	0	38	honest_60_20_20	rnacompete_eukarya
CG7804	random_forest	0.9973851834032361	0.9945992260270213	0.9972648853355774	0.9942161278539764	0.9690033381020505	0.9530685920577617	6560	2156	2097	6015	12946	0	38	honest_60_20_20	rnacompete_eukarya
CG7903	random_forest	0.9797134733158355	0.9617089886336517	0.9807435467812826	0.9462394732967807	0.927763272410792	0.8958594730238394	3515	1148	1149	2959	6362	0	38	honest_60_20_20	rnacompete_eukarya
CNOT4	random_forest	0.9915641115535939	0.9788077426044666	0.9905316166287494	0.9750972583902201	0.9510715729882734	0.9276748356246264	7440	2486	2473	6232	13453	0	38	honest_60_20_20	rnacompete_eukarya
CPEB2	random_forest	0.9942404457454624	0.9878660116472042	0.9910686067374908	0.9798502036738861	0.9716981132075472	0.9607250755287009	3998	1342	1378	3588	7747	0	38	honest_60_20_20	rnacompete_eukarya
CPEB4	logistic_regression	0.998550648532269	0.9959702087451137	0.9979809253496732	0.9943678932565646	0.9876160990712074	0.9782608695652174	5816	1981	1938	4865	10688	0	38	honest_60_20_20	rnacompete_eukarya
CPO	random_forest	0.99896765671979	0.9972414623191503	0.9989421635475603	0.9975024404000712	0.9841609589041096	0.9743589743589743	6990	2314	2336	5795	12681	0	38	honest_60_20_20	rnacompete_eukarya
DAZAP1	random_forest	0.9904870811200734	0.9809968594609565	0.9887891548950376	0.9757364791397894	0.9474557522123894	0.9258391881342701	5395	1833	1808	4842	10317	0	38	honest_60_20_20	rnacompete_eukarya
EIF-2ALPHA	random_forest	0.9390031332541999	0.8960355004144811	0.9434114353561431	0.9079504068880936	0.8668730650154799	0.7971698113207547	2002	644	646	1844	3781	0	38	honest_60_20_20	rnacompete_eukarya
ELAV	logistic_regression	0.9599410431652526	0.884473935393026	0.9673400989788887	0.9056544796654508	0.8943506969919296	0.7948717948717948	3977	1333	1363	3616	7914	0	38	honest_60_20_20	rnacompete_eukarya
ENOX1	logistic_regression	0.9748402376053111	0.9530620046162778	0.9760371570909566	0.9588052121264278	0.927120669056153	0.9008130081300812	5118	1671	1674	4553	9823	0	38	honest_60_20_20	rnacompete_eukarya
ESRP2	random_forest	0.9917141275114697	0.9801296612953043	0.9867571170798423	0.9654409399771664	0.9403824521934758	0.9187116564417178	5400	1762	1778	5012	10734	0	38	honest_60_20_20	rnacompete_eukarya
ETR-1	logistic_regression	0.9983030255379213	0.9966278492734904	0.9991519963984103	0.9983790861532109	0.9837345478204295	0.9763928234183191	4564	1504	1537	5048	10852	0	38	honest_60_20_20	rnacompete_eukarya
EXC-7	logistic_regression	0.9929153477877797	0.9829537564526343	0.9927097661623109	0.9814720426454978	0.9593661113368549	0.9348109517601043	7410	2402	2461	6667	14449	0	38	honest_60_20_20	rnacompete_eukarya
FMR1	random_forest	0.9451306227512551	0.9067013978966029	0.9406564229000339	0.8959413697113796	0.8640208197787899	0.8393543428132206	4669	1515	1537	4255	9049	0	38	honest_60_20_20	rnacompete_eukarya
FNE	logistic_regression	0.9622716505328525	0.9190018721008836	0.9609731240981242	0.899670972089892	0.902264600715137	0.8288100208768268	5081	1700	1678	4493	9845	0	38	honest_60_20_20	rnacompete_eukarya
FOX-1	random_forest	0.9984302759684769	0.9968307945037331	0.9983250075529232	0.9967291742001835	0.9877777777777778	0.9832826747720365	5309	1762	1800	5149	11153	0	38	honest_60_20_20	rnacompete_eukarya
FUS	random_forest	0.996814426638988	0.9943389759882204	0.9962776244770467	0.9918857451734429	0.972139303482587	0.9639175257731959	2968	1029	1005	3012	6636	0	38	honest_60_20_20	rnacompete_eukarya
FXR1	random_forest	0.9870055293100796	0.980420537820083	0.9901231190150479	0.9843852021892794	0.9384083044982698	0.9291964996022275	4462	1452	1445	4312	9411	0	38	honest_60_20_20	rnacompete_eukarya
FXR2	random_forest	0.9840707244868083	0.9733654543599984	0.9812951560390829	0.968260033912335	0.928921568627451	0.9059967585089141	4877	1590	1632	4463	9477	0	38	honest_60_20_20	rnacompete_eukarya
