protein_name	model	val_auroc	val_auprc	test_auroc	test_auprc	n_train	n_val	n_test	n_pos	n_neg	n_deduped_removed
B0280.17	logistic_regression	0.9770325177200425	0.9473489094629257	0.9731578205308962	0.9373096927202605	5667	1889	1889	3050	6395	0
B0280.17	random_forest	0.9885271536420616	0.972272434550522	0.989849908355657	0.9713044718538929	5667	1889	1889	3050	6395	0
BATDEDRAFT_13807	logistic_regression	0.9712562721923084	0.9320062100857658	0.9766182672912466	0.9477057913163817	4957	1653	1653	2691	5572	0
BATDEDRAFT_13807	random_forest	0.981814393118509	0.9540263747613495	0.9858852751429475	0.9654179913250273	4957	1653	1653	2691	5572	0
C44B7.2	logistic_regression	0.9884397677793905	0.9710980085687518	0.9873608275319181	0.9669383191314908	12984	4328	4328	6889	14751	0
C44B7.2	random_forest	0.9921792821824802	0.9802914438510699	0.9924097808172001	0.9816982933213374	12984	4328	4328	6889	14751	0
CBG00421	logistic_regression	0.9851368927707096	0.9597693439672899	0.9764246988359044	0.9348439800400686	8769	2924	2924	4623	9994	0
CBG00421	random_forest	0.9898462744885956	0.9671399480723533	0.9833846653056258	0.9503991816903637	8769	2924	2924	4623	9994	0
CBG03563	logistic_regression	0.9825499278206906	0.9578698228037362	0.98331877249165	0.9604866937710791	11880	3960	3961	6296	13505	0
CBG03563	random_forest	0.9864810462044622	0.9668525579714835	0.987012238749986	0.9673501120654334	11880	3960	3961	6296	13505	0
CBG04067	logistic_regression	0.9951482709367998	0.988817430821415	0.9911300167237762	0.976598553727027	5023	1675	1675	2682	5691	0
CBG04067	random_forest	0.9955921664722918	0.989329978155228	0.9919441144416845	0.975819305598886	5023	1675	1675	2682	5691	0
CBG05471	logistic_regression	0.994287991498406	0.9846086935550472	0.9941775541247317	0.9858379181845163	8940	2981	2981	4703	10199	0
CBG05471	random_forest	0.9960815569585963	0.9904763502914288	0.9963737992540268	0.9917918999851194	8940	2981	2981	4703	10199	0
CBG13971	logistic_regression	0.9705260399251742	0.929581093350063	0.9767095619798115	0.9431861909349205	4254	1419	1419	2313	4779	0
CBG13971	random_forest	0.9821836847194484	0.9517969273481783	0.9834081892695447	0.9576584751607089	4254	1419	1419	2313	4779	0
CBG14639	logistic_regression	0.9856121984162607	0.958744881178314	0.9871706593084996	0.963098239418466	9982	3328	3328	5247	11391	0
CBG14639	random_forest	0.9914772881755791	0.9755849222715481	0.9914252268071407	0.9741744415363798	9982	3328	3328	5247	11391	0
CBG15837	logistic_regression	0.9909736686386432	0.9774563402435031	0.9905807976873966	0.9763575718738501	7758	2587	2587	4070	8862	0
CBG15837	random_forest	0.9898698883470457	0.9763297661985697	0.9896190606850505	0.9730721461190883	7758	2587	2587	4070	8862	0
CG1316	logistic_regression	0.9865219390820992	0.9671501373408115	0.9872765819112813	0.9693076248189068	12663	4221	4221	6690	14415	0
CG1316	random_forest	0.9906015729545964	0.9765886022685664	0.9908600335869202	0.9776696109719872	12663	4221	4221	6690	14415	0
CG15440	logistic_regression	0.9543483686033706	0.9016154535163253	0.95529848457803	0.9004699993558042	9534	3178	3179	5024	10867	0
CG15440	random_forest	0.9715092279055711	0.9342512124229428	0.9742433188244609	0.9451080241493597	9534	3178	3179	5024	10867	0
CG4806	logistic_regression	0.9623506572340502	0.9071581610056457	0.9681047770103753	0.9193883712376367	5412	1805	1805	2934	6088	0
CG4806	random_forest	0.9810186778112526	0.9517421191106821	0.9838845483561456	0.9498042809299443	5412	1805	1805	2934	6088	0
CG4887	logistic_regression	0.968646136651078	0.9319694668235811	0.962147760129948	0.9207999323784378	7188	2396	2397	3888	8093	0
CG4887	random_forest	0.9754245554122022	0.94023069949004	0.9723590842041248	0.9419159585569381	7188	2396	2397	3888	8093	0
CPEB1	logistic_regression	0.9947804546030139	0.9880530149198536	0.9972141319488413	0.9936975523208404	5602	1868	1868	2979	6359	0
CPEB1	random_forest	0.9878171035414293	0.9618388684820284	0.9931870224979951	0.9813353572945389	5602	1868	1868	2979	6359	0
DDB_G0270634	logistic_regression	0.9913257954106569	0.9789694514571702	0.9881263068174249	0.9685095240244521	8853	2952	2952	4635	10122	0
DDB_G0270634	random_forest	0.9914866754564705	0.9782497761406115	0.987508889687962	0.9675495625737045	8853	2952	2952	4635	10122	0
