protein_name	best_model	auroc	auprc	val_auroc	val_auprc	accuracy	f1	n_train	n_val	n_test	n_pos	n_neg	n_deduped_removed	rna_length_mode	split_mode	dataset
B0280.17	random_forest	0.989849908355657	0.9713044718538929	0.9885271536420616	0.972272434550522	0.942297511911064	0.9168573607932876	5667	1889	1889	3050	6395	0		honest_60_20_20	rnacompete_rbpzoo
BATDEDRAFT_13807	random_forest	0.9858852751429475	0.9654179913250273	0.981814393118509	0.9540263747613495	0.9443436176648518	0.9187279151943463	4957	1653	1653	2691	5572	0		honest_60_20_20	rnacompete_rbpzoo
C44B7.2	random_forest	0.9924097808172001	0.9816982933213374	0.9921792821824802	0.9802914438510699	0.9403881700554528	0.9137700534759359	12984	4328	4328	6889	14751	0		honest_60_20_20	rnacompete_rbpzoo
CBG00421	random_forest	0.9833846653056258	0.9503991816903637	0.9898462744885956	0.9671399480723533	0.9463064295485636	0.9214607303651826	8769	2924	2924	4623	9994	0		honest_60_20_20	rnacompete_rbpzoo
CBG03563	random_forest	0.987012238749986	0.9673501120654334	0.9864810462044622	0.9668525579714835	0.9323403181014895	0.9024745269286754	11880	3960	3961	6296	13505	0		honest_60_20_20	rnacompete_rbpzoo
CBG04067	random_forest	0.9919441144416845	0.975819305598886	0.9955921664722918	0.989329978155228	0.9617910447761194	0.9430604982206405	5023	1675	1675	2682	5691	0		honest_60_20_20	rnacompete_rbpzoo
CBG05471	random_forest	0.9963737992540268	0.9917918999851194	0.9960815569585963	0.9904763502914288	0.9647769204964777	0.9466192170818505	8940	2981	2981	4703	10199	0		honest_60_20_20	rnacompete_rbpzoo
CBG13971	random_forest	0.9834081892695447	0.9576584751607089	0.9821836847194484	0.9517969273481783	0.9415081042988019	0.9159067882472138	4254	1419	1419	2313	4779	0		honest_60_20_20	rnacompete_rbpzoo
CBG14639	random_forest	0.9914252268071407	0.9741744415363798	0.9914772881755791	0.9755849222715481	0.9534254807692307	0.9311417147934251	9982	3328	3328	5247	11391	0		honest_60_20_20	rnacompete_rbpzoo
CBG15837	logistic_regression	0.9905807976873966	0.9763575718738501	0.9909736686386432	0.9774563402435031	0.9590258987243911	0.9359903381642513	7758	2587	2587	4070	8862	0		honest_60_20_20	rnacompete_rbpzoo
CG1316	random_forest	0.9908600335869202	0.9776696109719872	0.9906015729545964	0.9765886022685664	0.9410092395167022	0.9133310128785241	12663	4221	4221	6690	14415	0		honest_60_20_20	rnacompete_rbpzoo
CG15440	random_forest	0.9742433188244609	0.9451080241493597	0.9715092279055711	0.9342512124229428	0.9084617804340988	0.867183934276586	9534	3178	3179	5024	10867	0		honest_60_20_20	rnacompete_rbpzoo
CG4806	random_forest	0.9838845483561456	0.9498042809299443	0.9810186778112526	0.9517421191106821	0.9429362880886426	0.9176658673061551	5412	1805	1805	2934	6088	0		honest_60_20_20	rnacompete_rbpzoo
CG4887	random_forest	0.9723590842041248	0.9419159585569381	0.9754245554122022	0.94023069949004	0.9036295369211514	0.8632326820603907	7188	2396	2397	3888	8093	0		honest_60_20_20	rnacompete_rbpzoo
