protein_key	protocol_a	protocol_b	jaccard_top_kmers	jaccard_core5	spearman_shared_kmers	n_shared_kmers	n_kmers_a	n_kmers_b	domain_class	domain_architecture	mean_transfer_auroc	n_transfer_dirs
BOLL	htr_selex	rbns	0.0	0.0		0	2	3	unknown		0.6662124460882648	2
CELF1	htr_selex	rbns	0.0	0.0		0	2	4	unknown		0.695826883941971	2
DAZ3	htr_selex	rbns	0.0	0.0		0	1	4	unknown		0.548272125	2
DAZAP1	htr_selex	rbns	0.0	0.0		0	4	3	RRM	RRM;RRM	0.4927506558279139	2
DAZAP1	htr_selex	rnacompete_eukarya	0.0	0.05263157894736842		0	4	4	RRM	RRM;RRM	0.7722370113581272	2
DAZAP1	rbns	rnacompete_eukarya	0.0	0.0		0	3	4	RRM	RRM;RRM	0.641891819884375	2
ELAVL1	htr_selex	rnacompete_eukarya	0.2	0.16666666666666666		1	2	4	RRM	RRM;RRM;RRM	0.9576827007692812	2
ELAVL4	htr_selex	rbns	0.0	0.09090909090909091		0	2	3	unknown		0.7496533741862794	2
ESRP1	htr_selex	rbns	0.0	0.0		0	1	4	RRM	RRM;RRM	0.627315343671836	2
ESRP1	htr_selex	rnacompete_rbpzoo	0.0	0.0		0	1	3	RRM	RRM;RRM	0.8405599972499684	2
ESRP1	rbns	rnacompete_rbpzoo	0.0	0.15384615384615385		0	4	3	RRM	RRM;RRM	0.9531381662384109	2
HNRNPA0	htr_selex	rbns	0.0	0.0		0	1	5	RRM	RRM;RRM	0.5895192154202101	2
HNRNPA0	htr_selex	rnacompete_rbpzoo	0.0	0.0		0	1	3	RRM	RRM;RRM	0.8487044792481717	2
HNRNPA0	rbns	rnacompete_rbpzoo	0.0	0.0		0	5	3	RRM	RRM;RRM	0.734721796907716	2
HNRNPA1	htr_selex	rnacompete_eukarya	0.0	0.16666666666666666		0	2	5	RRM	RRM;RRM	0.8210015296499399	2
HNRNPA1L2	htr_selex	rbns	0.0	0.0		0	1	3	RRM	RRM;RRM	0.8002649410449668	2
HNRNPA1L2	htr_selex	rnacompete_eukarya	0.0	0.2222222222222222		0	1	4	RRM	RRM;RRM	0.9003937337482542	2
HNRNPA1L2	rbns	rnacompete_eukarya	0.0	0.0		0	3	4	RRM	RRM;RRM	0.885530267094039	2
HNRNPC	htr_selex	rbns	0.0	0.0		0	2	2	RRM	RRM	0.8838318212856429	2
HNRNPC	htr_selex	rnacompete_eukarya	0.0	0.0		0	2	4	RRM	RRM	0.8483793226112679	2
HNRNPC	rbns	rnacompete_eukarya	0.2	0.4		1	2	4	RRM	RRM	0.9247617738430143	2
HNRNPCL1	htr_selex	rbns	0.0	0.125		0	4	3	RRM	RRM	0.9660955884268536	2
HNRNPCL1	htr_selex	rnacompete_eukarya	0.125	0.2222222222222222		1	4	5	RRM	RRM	0.9029813054074443	2
HNRNPCL1	rbns	rnacompete_eukarya	0.14285714285714285	0.3333333333333333		1	3	5	RRM	RRM	0.9730537574554592	2
HNRNPL	htr_selex	rbns	0.0	0.0		0	2	5	RRM	RRM;RRM;RRM;RRM	0.9351455	2
HNRNPL	htr_selex	rnacompete_eukarya	0.25	0.3		1	2	3	RRM	RRM;RRM;RRM;RRM	0.9017400562635662	2
HNRNPL	rbns	rnacompete_eukarya	0.0	0.0		0	5	3	RRM	RRM;RRM;RRM;RRM	0.9138498017412151	2
HNRPLL	htr_selex	rnacompete_eukarya	0.0	0.0		0	2	4	unknown		0.7535950269623111	2
IGF2BP1	htr_selex	rbns	0.0	0.0		0	4	4	unknown		0.42971736673346694	2
KHDRBS1	htr_selex	rnacompete_eukarya	0.0	0.0		0	1	3	KH	KH	0.7376894831545435	2
KHDRBS2	htr_selex	rbns	0.0	0.0		0	3	4	KH	KH	0.8875248737443495	2
KHDRBS2	htr_selex	rnacompete_eukarya	0.0	0.07692307692307693		0	3	5	KH	KH	0.845837030232246	2
KHDRBS2	rbns	rnacompete_eukarya	0.0	0.14285714285714285		0	4	5	KH	KH	0.9090151835332365	2
KHDRBS3	htr_selex	rbns	0.0	0.0		0	2	5	KH	KH	0.8363229440345172	2
KHDRBS3	htr_selex	rnacompete_eukarya	0.0	0.0		0	2	4	KH	KH	0.7918319825794362	2
KHDRBS3	rbns	rnacompete_eukarya	0.0	0.16666666666666666		0	5	4	KH	KH	0.9292151372367838	2
MEX3C	htr_selex	rnacompete_rbpzoo	0.0	0.0		0	3	4	KH	KH	0.6528277890344014	2
MSI1	htr_selex	rbns	0.0	0.0		0	1	3	RRM	RRM;RRM	0.8484139744488979	2
MSI1	htr_selex	rnacompete_eukarya	0.0	0.2857142857142857		0	1	2	RRM	RRM;RRM	0.8882594610908962	2
MSI1	rbns	rnacompete_eukarya	0.25	0.3333333333333333		1	3	2	RRM	RRM;RRM	0.8361731860725915	2
PABPC5	htr_selex	rnacompete_eukarya	0.0	0.0		0	3	4	RRM	RRM;RRM;RRM;RRM	0.5279163945499339	2
PCBP1	htr_selex	rbns	0.0	0.0		0	1	4	KH	KH;KH;KH	0.7500973154702351	2
PCBP1	htr_selex	rnacompete_eukarya	0.0	0.0		0	1	5	KH	KH;KH;KH	0.8087757518849099	2
