protein_name	label	rna_len	prot_len	prob_v2	prob_v3b
HNRNPL	1	1184	589	0.25417259335517883	
HNRNPL	0	1184	589	0.4845750033855438	
SLBP	1	494	270	0.487832635641098	
HNRNPR	1	331	632	0.1548871546983719	
HNRNPR	0	331	632	0.4886808693408966	
IGF2BP3	1	177	579	0.29441413283348083	
IGF2BP3	1	121	579	0.49146318435668945	
IGF2BP3	1	228	579	0.1538826823234558	
IGF2BP3	0	1609	579	0.5018107295036316	
IGF2BP1	1	54	158	0.04341563582420349	
IGF2BP1	1	28	158	0.07783932983875275	
IGF2BP1	0	26	158	0.21562731266021729	
IGF2BP1	0	21	158	0.09808501601219177	
IGF2BP1	0	40	158	0.06277734041213989	
IGF2BP1	1	26	158	0.08465929329395294	
IGF2BP1	1	24	158	0.08246535807847977	
IGF2BP1	0	22	158	0.06419248133897781	
IGF2BP1	0	20	158	0.03751276060938835	
IGF2BP1	0	54	158	0.04620591551065445	
IGF2BP1	0	28	158	0.20349174737930298	
IGF2BP1	0	28	158	0.10124918073415756	
IGF2BP1	1	28	158	0.2944774031639099	
HsPUM1	1	19	318	0.623436689376831	
HsPUM1	1	14	318	0.5401365160942078	
HsPUM1	1	10	318	0.0366903580725193	
SRSF1 RRM1 E87N	1	6	86	0.8482470512390137	
IGF2BP2	1	1174	599	0.6491206288337708	
PCBP2	1	3978	365	0.8205338716506958	
METTL3	1	3978	580	0.8911421298980713	
METTL14	1	150	456	0.9722885489463806	
WTAP	1	150	396	0.9695424437522888	
YTHDF2	1	150	579	0.9799134731292725	
YTHDF1	0	3978	559	0.9375283718109131	
PTB1 (RBD1)	1	6	115	0.0244558434933424	
PTB1 (RBD2)	1	6	145	0.04773815721273422	
PTB1 (RBD3)	1	6	208	0.002456317190080881	
PTB1 (RBD4)	1	6	208	0.002456317190080881	
PTB1 (RBD34)	1	17	208	0.05788656696677208	
PTB1 (RBD34)	1	22	208	0.06659869104623795	
PTB1 (RBD34)	1	27	208	0.0679783970117569	
PTB1 (RBD34)	1	33	208	0.0679783970117569	
PTB1 (RBD34)	1	39	208	0.0679783970117569	
PTB1 (RBD34)	1	44	208	0.0679783970117569	
PTB1 (RBD34)	1	6	208	0.002456317190080881	
PTB1 (RBD34)	0	6	208	0.002529346849769354	
PTB1	1	6	531	0.14257007837295532	
FBF-1	1	37	494	0.1875426322221756	
FBF-2	1	37	632	0.23752667009830475	
FBF-1	0	37	494	0.2667231261730194	
FBF-1	0	37	494	0.06925825774669647	
FBF-1	0	35	494	0.1078285202383995	
FBF-1	0	30	494	0.20851261913776398	
HNRNPM	1	17918	729	0.9652997255325317	
HNRNPU	1	17918	800	0.9560433030128479	
HNRNPK	1	17918	463	0.9537699818611145	
MYEF2	1	17918	591	0.9746569395065308	
SPEN	1	17918	3644	0.9428210854530334	
RBMXL1	1	17918	388	0.9629353284835815	
HNRNPAB	1	17918	285	0.9611343145370483	
HNRNPD	1	17918	355	0.9580500721931458	
HNRNPC	1	17918	313	0.9842536449432373	
TARDBP	1	17918	414	0.9899314641952515	
IGF2BP1	1	17918	577	0.9482508301734924	
DDX39B	1	17918	428	0.9791160225868225	
RBM15	1	17918	962	0.9618270993232727	
HNRNPUL2	1	17918	745	0.9514452219009399	
RBM14	1	17918	669	0.9693803787231445	
SAFB	1	17918	937	0.908374011516571	
CIZ1	1	17918	898	0.9383576512336731	
HNRNPA0	1	17918	305	0.9780006408691406	
YTHDC1	1	17918	736	0.9617727398872375	
SRSF7	1	17918	267	0.9300424456596375	
RALY	1	17918	312	0.9857616424560547	
DDX17	1	17918	650	0.9614726901054382	
RNF2	1	17918	336	0.9580845832824707	
THOC4	1	17918	255	0.9602757692337036	
SARNP	1	17918	210	0.9626646637916565	
ELAVL1	1	17918	326	0.9815165996551514	
HNRPDL	1	17918	301	0.953303337097168	
SRSF3	1	17918	164	0.9512131214141846	
SRSF2	1	17918	221	0.9346813559532166	
TRIM6	1	17918	488	0.960514485836029	
RBM4	1	17918	361	0.9724850058555603	
RBFOX2	1	17918	449	0.98252272605896	
RBM3	1	17918	153	0.9441646933555603	
SRSF9	1	17918	222	0.9636949300765991	
POLDIP3	1	17918	420	0.9419663548469543	
SRSF10	1	17918	262	0.9374985694885254	
ZFR	1	17918	1074	0.9547979831695557	
WTAP	1	17918	396	0.9585410952568054	
CELF1	1	17918	486	0.9785052537918091	
ERH	1	17918	104	0.9298553466796875	
LIN28A	1	17918	209	0.9893791079521179	
PCGF5	1	17918	256	0.9549077749252319	
RYBP	1	17918	228	0.9614033102989197	
RNF20	1	17918	973	0.9578107595443726	
RNMT	1	17918	465	0.9762710332870483	
PTBP2	1	17918	531	0.9358841776847839	
SAP18	1	17918	153	0.9590229392051697	
TRIM71	1	17918	855	0.98297518491745	
IGF2BP3	1	17918	579	0.9683870077133179	
L1TD1	1	17918	782	0.9595507979393005	
MYBBP1A	1	17918	1344	0.9598346948623657	
YBX1	1	2362	324	0.6862168312072754	
CDK6	1	2362	326	0.979312539100647	
TCTP	1	2362	172	0.9644151329994202	
LSD1 (KDM1A)	1	2362	852	0.9526415467262268	
EZH2	1	2362	746	0.9448898434638977	
AKT1	1	2362	480	0.9191412925720215	
RSK1 (RPS6KA1)	1	2362	735	0.9761109948158264	
ERK1 (MAPK3)	1	2362	382	0.9714263081550598	
ERK2 (MAPK1)	1	2362	360	0.9658553004264832	
YBX1 (CTD domain)	0	2362	195	0.5310569405555725	
YBX1 (CSD domain)	1	2362	78	0.9718248844146729	
YBX1 (CSD domain)	1	10227	78	0.9128780364990234	
YBX1 (CTD domain)	0	10227	195	0.6973699331283569	
FBF-1 (part)	1	28	494	0.20002876222133636	
FBF-1 (part)	0	28	494	0.09044678509235382	
FBF-1 (part)	1	30	494	0.4060826301574707	
FBF-1 (part)	0	30	494	0.40891051292419434	
FBF-2 (part)	1	28	631	0.24265062808990479	
FBF-2 (part)	1	30	631	0.3822993338108063	
PUF-5	0	28	553	0.040660277009010315	
PUF-5	0	30	553	0.14178146421909332	
FBF-1 (part)	0	38	494	0.864849328994751	
FBF-1 (part)	0	32	494	0.2151278555393219	
Puf3	1	137	879	0.5380417704582214	
Puf3	1	101	879	0.3620246648788452	
Puf3	1	76	879	0.14249806106090546	
RBM5 (part)	1	10	117	0.000984765705652535	
RBM5 (part)	0	9	91	0.0014753956347703934	
ZBP1 (part)	0	54	157	0.07141777873039246	
ZBP1 (part)	0	54	160	0.05207662656903267	
ZBP1 (part)	0	26	158	0.21562731266021729	
ZBP1 (part)	0	21	158	0.09808501601219177	
ZBP1 (part)	0	40	158	0.06277734041213989	
L7Ae	0	82	119	0.26489362120628357	
L7Ae	0	73	119	0.12336283922195435	
FMRP-KH1	0	152	76	0.17816515266895294	
FMRP-KH2	0	152	142	0.23645931482315063	
FMRP-NT	1	76	217	0.5153541564941406	
FMRP-NT	0	25	217	0.10488149523735046	
BSA	0	152	607	0.31986019015312195	
NusG	0	152	248	0.18775448203086853	
FMRP-NT	0	30	217	0.18665291368961334	
ASF/SF2	1	58	248	0.6844794750213623	
ASF/SF2	1	58	248	0.44901278614997864	
ASF/SF2	1	58	248	0.4030931293964386	
ASF/SF2	1	56	248	0.29912373423576355	
ASF/SF2	0	58	248	0.06550189852714539	
ASF/SF2	0	58	248	0.08832971751689911	
SC35	1	58	221	0.16478732228279114	
SC35	1	57	221	0.3982970714569092	
SC35	0	58	221	0.6108348369598389	
SC35	0	60	221	0.40271398425102234	
SC35	0	58	221	0.07314378768205643	
MCP (MS2 Coat Protein)	1	20	130	0.06047112122178078	
MCP (MS2 Coat Protein)	0	20	130	0.05605439096689224	
