protein_name	mean_positive_intensity	protein_length_aa	n_probes_best_experiment	n_positives	experiment_id	intensity_rank
LmjF.24.1570	24.98212096953569	275	17298	5449	RNCMPT00761	1
RBFOX2	21.34969464563577	168	16403	5167	RNCMPT00818	2
LmjF.34.4560	15.962993780726888	390	20874	6631	RNCMPT00691	3
LmjF.29.1350	13.603219304551121	272	20271	6416	RNCMPT00713	4
LmjF.33.1450	13.233303766260935	184	16685	5258	RNCMPT00717	5
LmjF.30.2180	12.102309308587387	217	13544	4297	RNCMPT00715	6
PK22404.1	11.883528772590058	291	15797	4969	RNCMPT00343	7
LmjF.29.1370	11.726112103647944	298	16392	5181	RNCMPT00762	8
LmjF.25.0500	11.684017739963833	167	17490	5530	RNCMPT00689	9
LmjF.18.0190	11.065861020784771	238	16176	5148	RNCMPT00687	10
NEMVEDRAFT_v1g141408	10.990796249018839	189	16179	5096	RNCMPT00718	11
Tb927.3.3960	10.979577000760168	246	16603	5262	RNCMPT00735	12
PK20770.1	10.409515441997728	374	14005	4405	RNCMPT00464	13
nrd1	9.865825981098288	463	16085	5026	RNCMPT00414	14
PK27602.1	9.548871950798992	363	22484	7134	RNCMPT00431	15
RBM45	9.504806842984994	328	23723	7598	RNCMPT00805	16
Tb11.03.0550	9.397369087184158	198	13872	4393	RNCMPT00749	17
srsf3	9.394509718368193	173	15452	4829	RNCMPT01680	18
PK07890.1	9.317457519610691	231	21735	6884	RNCMPT00790	19
rnp-2	9.309995167548168	206	16750	5294	RNCMPT00301	20
PK23225.1	9.179396658153554	220	20084	6304	RNCMPT00370	21
PK11774.1	8.95627903314997	252	21902	6908	RNCMPT00403	22
UBA2B	8.86799650827323	268	14975	4714	RNCMPT00475	23
CG1316	8.700074152765321	469	21105	6690	RNCMPT00698	24
PK00840.1	8.502866696632125	346	12261	3860	RNCMPT00461	25
PK20300.1	8.355801870569174	263	15723	4937	RNCMPT00360	26
LmjF.29.1360	8.353041000427078	266	14817	4683	RNCMPT00714	27
PK10695.1	8.352566496779735	366	14767	4658	RNCMPT00741	28
NCU09742	8.167922404875926	254	14480	4594	RNCMPT00676	29
tardbpl	8.137173340088106	244	17797	5675	RNCMPT00683	30
PK04894.1	8.117108009236947	233	15797	4980	RNCMPT00346	31
MBNL2	7.872701592439577	373	15297	4841	RNCMPT00401	32
TRNAU1AP	7.561414561460524	219	16527	5231	RNCMPT00813	33
Tb10.389.1650	7.5255421532313305	116	13785	4379	RNCMPT00732	34
CBG05471	7.483296544333404	231	14902	4703	RNCMPT00422	35
SCHCODRAFT_80278	7.463613406196212	205	14700	4648	RNCMPT00678	36
estExt_fgenesh1_pg.C_Chr_03.00010087	7.387478820976885	254	14452	4586	RNCMPT00694	37
LmjF.29.1340	7.317082737387699	275	13779	4341	RNCMPT00712	38
DDB_G0270634	7.268322310895362	368	14757	4635	RNCMPT00399	39
PGTG_00837	7.2522868744469875	331	20605	6555	RNCMPT00476	40
PUF60	7.220178731286895	479	13431	4235	RNCMPT00820	41
csx1	7.205793706651885	377	14401	4510	RNCMPT00325	42
CG15440	7.199968592356687	223	15891	5024	RNCMPT00513	43
tardbp	7.19749587117283	259	18892	5977	RNCMPT01664	44
NCU00556	7.18075897573486	453	16022	5069	RNCMPT00754	45
PK00513.1	7.176102706839856	227	19201	6082	RNCMPT00462	46
nop12	7.14170075939438	277	17317	5482	RNCMPT00412	47
LmjF.30.1110	7.090571395409736	389	20600	6492	RNCMPT00763	48
PK14112.1	7.057328500711237	190	13395	4218	RNCMPT00392	49
ELAVL2	7.05380034743144	189	16362	5178	RNCMPT00814	50
PK03611.1	7.023193954801038	264	14710	4624	RNCMPT00326	51
hnrnpa0l	6.968809666552492	218	18450	5839	RNCMPT00340	52
mei2	6.866726582535885	560	13338	4180	RNCMPT00413	53
u2af2b	6.750785117647059	372	12175	3842	RNCMPT00418	54
RBM24	6.726206102192243	223	18838	5930	RNCMPT01677	55
ENSGALG00000014089	6.713396779994948	268	12533	3959	RNCMPT00760	56
tdp-1	6.69780193383024	257	20805	6574	RNCMPT00816	57
pabpc1A	6.676793156675472	406	15686	4921	RNCMPT00508	58
PK27183.1	6.646845482737168	346	20352	6430	RNCMPT00685	59
e_gw1.13.00.297.1	6.583155208356546	215	11246	3590	RNCMPT00681	60
Y69A2AR.32	6.523723955214332	383	14870	4689	RNCMPT00324	61
PK15181.1	6.343014920365258	244	14984	4709	RNCMPT00345	62
PK27686.1	6.339721014764856	249	17398	5486	RNCMPT00349	63
RBM47	6.258357876718978	340	19530	6181	RNCMPT00394	64
CBG00421	6.256359253515033	266	14617	4623	RNCMPT00840	65
C44B7.2	6.250696702424155	547	21640	6889	RNCMPT00468	66
spo5	6.22903796886253	253	15021	4721	RNCMPT00311	67
Tb927.6.4960	6.223992234565585	124	16810	5329	RNCMPT00833	68
cwf2	6.215034075425791	388	15481	4932	RNCMPT00432	69
Tb927.7.320	6.190417412099494	180	14970	4744	RNCMPT00751	70
FUBP1	6.154041957283417	442	13214	4167	RNCMPT00822	71
PK16782.1	6.109907342443439	494	17409	5525	RNCMPT00460	72
sup-12	6.091864443294523	248	14593	4638	RNCMPT00416	73
pabpc4	6.0784909411362085	168	13864	4383	RNCMPT00511	74
PK01594.1	6.076059187053674	260	13692	4341	RNCMPT00478	75
Smp_006320	5.711114491111111	313	15705	4950	RNCMPT00500	76
rbm14	5.671634691630818	198	16103	5114	RNCMPT00514	77
RBPMS2	5.669659779292437	180	19455	6162	RNCMPT00757	78
snrpB2	5.666143837955959	241	18823	5949	RNCMPT00507	79
CBG03563	5.56249836864676	238	19801	6296	RNCMPT00433	80
PFI1175c	5.5392011198111675	202	19515	6143	RNCMPT00380	81
ENSMODG00000011916	5.416521226409313	255	20577	6528	RNCMPT00707	82
ENSTNIG00000011257	5.391928950671337	369	10933	3426	RNCMPT01671	83
cpb-2	5.340202864459267	367	13198	4198	RNCMPT00794	84
SCHCODRAFT_72118	5.1536865840248955	261	12168	3856	RNCMPT00723	85
rnp-3	5.087963137814494	217	16875	5326	RNCMPT00510	86
khdrbs1b	5.033368448124828	363	11647	3653	RNCMPT01673	87
SCHCODRAFT_104251	5.018968552353156	197	17258	5482	RNCMPT00866	88
TVAG_371220	4.964706596164187	417	17660	5579	RNCMPT00623	89
ENSMGAG00000016128	4.900260281565656	143	15021	4752	RNCMPT00350	90
TIA1	4.881343697790868	327	10754	3395	RNCMPT01672	91
CBG14639	4.855182529635982	266	16638	5247	RNCMPT00331	92
Tb927.7.2140	4.835738831547937	215	11606	3734	RNCMPT00834	93
PK21151.1	4.748571840428006	250	13606	4299	RNCMPT00830	94
U2B''	4.7195780491723465	232	12850	4108	RNCMPT00799	95
rsp-1	4.679356307279515	246	13349	4286	RNCMPT00801	96
