pair_id	protein_name	label	rna_len	prot_len	example_class	neg_strategy	parent_pair_id	prob_v2
curated_0000	HNRNPL	1	1184	589	curated_positive		curated_0000	0.6627690196037292
curated_0002	SLBP	1	494	270	curated_positive		curated_0002	0.4910547733306885
curated_0003	HNRNPR	1	331	632	curated_positive		curated_0003	0.4191734790802002
curated_0005	IGF2BP3	1	177	579	curated_positive		curated_0005	0.4468589723110199
curated_0006	IGF2BP3	1	121	579	curated_positive		curated_0006	0.5621896386146545
curated_0007	IGF2BP3	1	228	579	curated_positive		curated_0007	0.452940434217453
curated_0009	IGF2BP1	1	54	158	curated_positive		curated_0009	0.4864549934864044
curated_0010	IGF2BP1	1	28	158	curated_positive		curated_0010	0.5498849153518677
curated_0014	IGF2BP1	1	26	158	curated_positive		curated_0014	0.5241808891296387
curated_0015	IGF2BP1	1	24	158	curated_positive		curated_0015	0.4908911883831024
curated_0021	IGF2BP1	1	28	158	curated_positive		curated_0021	0.5885983109474182
curated_0022	HsPUM1	1	19	318	curated_positive		curated_0022	0.6030743718147278
curated_0023	HsPUM1	1	14	318	curated_positive		curated_0023	0.46803489327430725
curated_0024	HsPUM1	1	10	318	curated_positive		curated_0024	0.09890542179346085
curated_0025	SRSF1 RRM1 E87N	1	6	86	curated_positive		curated_0025	0.3349057137966156
curated_0026	IGF2BP2	1	1174	599	curated_positive		curated_0026	0.6223629117012024
curated_0030	PCBP2	1	3978	365	curated_positive		curated_0030	0.7546436786651611
curated_0031	METTL3	1	3978	580	curated_positive		curated_0031	0.7269140481948853
curated_0032	METTL14	1	150	456	curated_positive		curated_0032	0.44805383682250977
curated_0033	WTAP	1	150	396	curated_positive		curated_0033	0.538519561290741
curated_0034	YTHDF2	1	150	579	curated_positive		curated_0034	0.5407280325889587
curated_0036	PTB1 (RBD1)	1	6	115	curated_positive		curated_0036	0.16268235445022583
curated_0037	PTB1 (RBD2)	1	6	145	curated_positive		curated_0037	0.22360984981060028
curated_0038	PTB1 (RBD3)	1	6	208	curated_positive		curated_0038	0.09988471865653992
curated_0039	PTB1 (RBD4)	1	6	208	curated_positive		curated_0039	0.09988471865653992
curated_0040	PTB1 (RBD34)	1	17	208	curated_positive		curated_0040	0.08931352198123932
curated_0041	PTB1 (RBD34)	1	22	208	curated_positive		curated_0041	0.05011054500937462
