protein_key	train_protein_name	test_protein_name	train_protocol	test_protocol	model	domain_class	domain_architecture	auroc	auprc	n_train	n_test	n_pos_train	n_neg_train	n_pos_test	n_neg_test	n_deduped_removed_train	n_deduped_removed_test	n_exact_rna_overlap	exact_rna_overlap_fraction_of_test
RBM24	RBM24	RBM24	htr_selex	rbns	logistic_regression	RRM	RRM	0.93762675	0.8837056403441601	2966	3000	1000	1966	1000	2000	0	0	0	0.0
TARDBP	TARDBP	TARDBP	htr_selex	rbns	logistic_regression	RRM	RRM;RRM	0.8037974999999999	0.6812498807415936	3000	3000	1000	2000	1000	2000	0	0	0	0.0
DAZAP1	DAZAP1	DAZAP1	htr_selex	rbns	logistic_regression	RRM	RRM;RRM	0.39437799999999995	0.28006592124531104	2999	3000	1000	1999	1000	2000	0	0	0	0.0
ESRP1	ESRP1-construct3	ESRP1	htr_selex	rbns	logistic_regression	RRM	RRM;RRM	0.5582560000000001	0.36876649396024197	2999	3000	1000	1999	1000	2000	0	0	0	0.0
HNRNPA0	HNRNPA0	HNRNPA0	htr_selex	rbns	logistic_regression	RRM	RRM;RRM	0.5626767500000001	0.3702533492824121	2999	3000	1000	1999	1000	2000	0	0	0	0.0
HNRNPA1L2	HNRNPA1L2	HNRNPA1L2	htr_selex	rbns	logistic_regression	RRM	RRM;RRM	0.63357025	0.46986813765543356	2957	3000	1000	1957	1000	2000	0	0	0	0.0
HNRNPC	HNRNPC	HNRNPC	htr_selex	rbns	logistic_regression	RRM	RRM	0.9898784999999999	0.9868841735009684	2999	3000	1000	1999	1000	2000	0	0	0	0.0
HNRNPCL1	HNRNPCL1	HNRNPCL1	htr_selex	rbns	logistic_regression	RRM	RRM	0.97672775	0.9638379718827368	2996	3000	1000	1996	1000	2000	0	0	0	0.0
HNRNPL	HNRNPL-construct2	HNRNPL	htr_selex	rbns	logistic_regression	RRM	RRM;RRM;RRM;RRM	0.9300095	0.8852238709291886	3000	3000	1000	2000	1000	2000	0	0	0	0.0
KHDRBS2	KHDRBS2	KHDRBS2	htr_selex	rbns	logistic_regression	KH	KH	0.9424947499999998	0.9002330667602337	2991	3000	1000	1991	1000	2000	0	0	0	0.0
KHDRBS3	KHDRBS3	KHDRBS3	htr_selex	rbns	logistic_regression	KH	KH	0.9253697499999999	0.87267860805175	2999	3000	1000	1999	1000	2000	0	0	0	0.0
MSI1	MSI1	MSI1	htr_selex	rbns	logistic_regression	RRM	RRM;RRM	0.8223535000000002	0.7201617285937156	2996	3000	1000	1996	1000	2000	0	0	0	0.0
PCBP1	PCBP1	PCBP1	htr_selex	rbns	logistic_regression	KH	KH;KH;KH	0.7974327499999998	0.6378573942819599	2999	3000	1000	1999	1000	2000	0	0	0	0.0
RBM4	RBM4	RBM4	htr_selex	rbns	logistic_regression	multi	RRM;RRM;CCHC	0.8489624999999998	0.7368527341042442	3000	3000	1000	2000	1000	2000	0	0	0	0.0
RBM6	RBM6	RBM6	htr_selex	rbns	logistic_regression	RRM	RRM;RRM	0.4303805	0.29944534561532143	3000	3000	1000	2000	1000	2000	0	0	0	0.0
RBMS3	RBMS3	RBMS3	htr_selex	rbns	logistic_regression	RRM	RRM;RRM	0.615624	0.44041091970452073	2994	3000	1000	1994	1000	2000	0	0	0	0.0
SNRPA	SNRPA	SNRPA	htr_selex	rbns	logistic_regression	RRM	RRM;RRM	0.9561742499999999	0.9006573610374848	2999	3000	1000	1999	1000	2000	0	0	0	0.0
SNRPB2	SNRPB2	SNRPB2	htr_selex	rbns	logistic_regression	RRM	RRM;RRM	0.960154	0.906372030934903	2986	3000	1000	1986	1000	2000	0	0	0	0.0
YBX2	YBX2	YBX2	htr_selex	rbns	logistic_regression	CSD	CSD	0.614325	0.41545650382422533	2999	3000	1000	1999	1000	2000	0	0	0	0.0
ZCRB1	ZCRB1	ZCRB1	htr_selex	rbns	logistic_regression	multi	RRM;CCHC	0.8866275000000001	0.7831227821413155	3000	3000	1000	2000	1000	2000	0	0	0	0.0
BOLL	BOLL	BOLL	htr_selex	rbns	logistic_regression	unknown		0.6761275	0.5056603619345802	2994	3000	1000	1994	1000	2000	0	0	0	0.0
CELF1	CELF1-construct2	CELF1	htr_selex	rbns	logistic_regression	unknown		0.7481180000000001	0.6090598172847116	2999	3000	1000	1999	1000	2000	0	0	0	0.0
DAZ3	DAZ3	DAZ3	htr_selex	rbns	logistic_regression	unknown		0.71049175	0.5510684806965854	3000	3000	1000	2000	1000	2000	0	0	0	0.0
ELAVL4	ELAVL4	ELAVL4	htr_selex	rbns	logistic_regression	unknown		0.8614744999999999	0.7768933083377387	2997	3000	1000	1997	1000	2000	0	0	0	0.0
IGF2BP1	IGF2BP1	IGF2BP1	htr_selex	rbns	logistic_regression	unknown		0.302318	0.23705403331932717	2996	3000	1000	1996	1000	2000	0	0	0	0.0
