protein_name_native	protein_key	domain_architecture	domain_boundaries	species	domain_class
RBFOX2	RBFOX2	RRM	46;127	Homo sapiens	RRM
A2BP1	RBFOX1	RRM	46;127	Homo sapiens	RRM
ANKHD1	ANKHD1	KH	51;113	Homo sapiens	KH
CNOT4	CNOT4	RRM	46;134	Homo sapiens	RRM
HNRNPCL1	HNRNPCL1	RRM	13;89	Homo sapiens	RRM
U2AF2	U2AF2	RRM;RRM;RRM	46;133;156;237;293;368	Homo sapiens	RRM
HNRNPH2	HNRNPH2	RRM;RRM;RRM	8;92;108;190;286;365	Homo sapiens	RRM
ZC3H10	ZC3H10	CCCH;CCCH;CCCH	38;62;79;98;135;160	Homo sapiens	CCCH
RALY	RALY	RRM	19;94	Homo sapiens	RRM
SAMD4A	SAMD4A	SAM	51;111	Homo sapiens	SAM
HNRNPC	HNRNPC	RRM	13;89	Homo sapiens	RRM
PRR3	PRR3	CCCH	156;181	Homo sapiens	CCCH
ELAVL2	ELAVL2	RRM;RRM	36;119;122;189	Homo sapiens	RRM
CPEB4	CPEB4	RRM;RRM	46;117;154;236	Homo sapiens	RRM
CPEB1	CPEB1	RRM;RRM	47;112;160;240	Homo sapiens	RRM
A1CF	A1CF	RRM;RRM;RRM	46;125;126;213;222;298	Homo sapiens	RRM
PABPC4	PABPC4	RRM;RRM;RRM;RRM	9;90;97;177;189;270;292;372	Homo sapiens	RRM
RBM45	RBM45	RRM;RRM;RRM	23;108;119;187;247;324	Homo sapiens	RRM
ZCRB1	ZCRB1	RRM;CCHC	7;89;105;122	Homo sapiens	multi
PUF60	PUF60	RRM;RRM;RRM	47;127;143;225;399;471	Homo sapiens	RRM
PABPN1	PABPN1	RRM	46;128	Homo sapiens	RRM
SRSF7	SRSF7	RRM;CCHC	8;84;104;120	Homo sapiens	multi
PABPC1	PABPC1	RRM;RRM;RRM;RRM	9;90;97;177;189;270;292;372	Homo sapiens	RRM
MBNL1	MBNL1	CCCH;CCCH;CCCH;CCCH	15;40;57;72;180;206;217;240	Homo sapiens	CCCH
RBM42	RBM42	RRM	46;129	Homo sapiens	RRM
SART3	SART3	RRM;RRM	46;129;143;225	Homo sapiens	RRM
SNRPA	SNRPA	RRM;RRM	7;91;205;282	Homo sapiens	RRM
CPEB2	CPEB2	RRM;RRM	46;117;154;236	Homo sapiens	RRM
RBM41	RBM41	RRM	46;129	Homo sapiens	RRM
MBNL2	MBNL2	CCCH;CCCH;CCCH;CCCH	16;40;57;72;177;203;214;237	Homo sapiens	CCCH
RBM24	RBM24	RRM	8;87	Homo sapiens	RRM
HNRNPA1	HNRNPA1	RRM;RRM	11;93;102;184	Homo sapiens	RRM
YBX2	YBX2	CSD	94;163	Homo sapiens	CSD
KHDRBS1	KHDRBS1	KH	52;114	Homo sapiens	KH
HNRNPLL	HNRNPLL	RRM;RRM;RRM;RRM	74;136;165;246;332;411;451;540	Homo sapiens	RRM
