protein_key	protocol_a	protocol_b	jaccard_top_kmers	jaccard_core5	spearman_shared_kmers	n_shared_kmers	n_kmers_a	n_kmers_b	domain_class	domain_architecture	mean_transfer_auroc	n_transfer_dirs
BOLL	htr_selex	rbns	0.0	0.0		0	2	3	unknown		0.66552227331996	2
CELF1	htr_selex	rbns	0.0	0.0		0	2	4	unknown		0.6964585754127064	2
DAZ3	htr_selex	rbns	0.0	0.0		0	1	4	unknown		0.5471929999999999	2
DAZAP1	htr_selex	rbns	0.0	0.0		0	4	3	RRM	RRM;RRM	0.49275651650825414	2
DAZAP1	htr_selex	rnacompete_eukarya	0.0	0.05263157894736842		0	4	4	RRM	RRM;RRM	0.7724213779385078	2
DAZAP1	rbns	rnacompete_eukarya	0.0	0.0		0	3	4	RRM	RRM;RRM	0.6415519452260192	2
ELAVL1	htr_selex	rnacompete_eukarya	0.2	0.16666666666666666		1	2	4	RRM	RRM;RRM;RRM	0.9580689645146465	2
ELAVL4	htr_selex	rbns	0.0	0.09090909090909091		0	2	3	unknown		0.750106200676014	2
ESRP1	htr_selex	rbns	0.0	0.0		0	1	4	RRM	RRM;RRM	0.6309493894447223	2
ESRP1	htr_selex	rnacompete_rbpzoo	0.0	0.0		0	1	3	RRM	RRM;RRM	0.8409564217304588	2
ESRP1	rbns	rnacompete_rbpzoo	0.0	0.15384615384615385		0	4	3	RRM	RRM;RRM	0.9530837928626765	2
HNRNPA0	htr_selex	rbns	0.0	0.0		0	1	5	RRM	RRM;RRM	0.5890772454977489	2
HNRNPA0	htr_selex	rnacompete_rbpzoo	0.0	0.0		0	1	3	RRM	RRM;RRM	0.8487021967829395	2
HNRNPA0	rbns	rnacompete_rbpzoo	0.0	0.0		0	5	3	RRM	RRM;RRM	0.734589898582767	2
HNRNPA1	htr_selex	rnacompete_eukarya	0.0	0.16666666666666666		0	2	5	RRM	RRM;RRM	0.8212607390685467	2
HNRNPA1L2	htr_selex	rbns	0.0	0.0		0	1	3	RRM	RRM;RRM	0.8001664259070005	2
HNRNPA1L2	htr_selex	rnacompete_eukarya	0.0	0.2222222222222222		0	1	4	RRM	RRM;RRM	0.9039807334883065	2
HNRNPA1L2	rbns	rnacompete_eukarya	0.0	0.0		0	3	4	RRM	RRM;RRM	0.8884085611882565	2
