protein_key	protein_name	protocol	model	domain_class	domain_architecture	source	auroc	auprc	n_train	n_test	n_pos	n_neg	n_deduped_removed	split_mode
BOLL	BOLL	htr_selex	logistic_regression	unknown		computed	0.9507393483709272	0.9314286751370776	2395	599	1000	1994	0	honest_trainval_test
CELF1	CELF1-construct2	htr_selex	logistic_regression	unknown		computed	0.9378875	0.9069584777130221	2399	600	1000	1999	0	honest_trainval_test
DAZ3	DAZ3	htr_selex	logistic_regression	unknown		computed	0.95135	0.9159552796303712	2400	600	1000	2000	0	honest_trainval_test
DAZAP1	DAZAP1	htr_selex	logistic_regression	RRM	RRM;RRM	computed	0.9031999999999999	0.8663148455460966	2399	600	1000	1999	0	honest_trainval_test
ELAVL1	ELAVL1	htr_selex	logistic_regression	RRM	RRM;RRM;RRM	computed	0.9997979797979797	0.9995905675425731	2380	596	1000	1976	0	honest_trainval_test
ELAVL4	ELAVL4	htr_selex	logistic_regression	unknown		computed	0.8233250000000001	0.737328349774721	2397	600	1000	1997	0	honest_trainval_test
ESRP1	ESRP1-construct3	htr_selex	logistic_regression	RRM	RRM;RRM	computed	0.9987375000000001	0.9975646711068386	2399	600	1000	1999	0	honest_trainval_test
HNRNPA0	HNRNPA0	htr_selex	logistic_regression	RRM	RRM;RRM	computed	0.986225	0.9839214952261605	2399	600	1000	1999	0	honest_trainval_test
HNRNPA1	HNRNPA1	htr_selex	logistic_regression	RRM	RRM;RRM	computed	0.9206500000000001	0.8562688210700893	2399	600	1000	1999	0	honest_trainval_test
HNRNPA1L2	HNRNPA1L2	htr_selex	logistic_regression	RRM	RRM;RRM	computed	0.9870408163265306	0.9820333294860722	2365	592	1000	1957	0	honest_trainval_test
HNRNPC	HNRNPC	htr_selex	logistic_regression	RRM	RRM	computed	0.9756875	0.9613799061264512	2399	600	1000	1999	0	honest_trainval_test
HNRNPCL1	HNRNPCL1	htr_selex	logistic_regression	RRM	RRM	computed	0.9885875	0.9806576863535547	2396	600	1000	1996	0	honest_trainval_test
HNRNPL	HNRNPL-construct2	htr_selex	logistic_regression	RRM	RRM;RRM;RRM;RRM	computed	0.972	0.9643124101870509	2400	600	1000	2000	0	honest_trainval_test
HNRPLL	HNRPLL	htr_selex	logistic_regression	unknown		computed	0.8962784810126582	0.8255618149381121	2379	595	1000	1974	0	honest_trainval_test
IGF2BP1	IGF2BP1	htr_selex	logistic_regression	unknown		computed	0.90435	0.82629337433738	2396	600	1000	1996	0	honest_trainval_test
KHDRBS1	KHDRBS1	htr_selex	logistic_regression	KH	KH	computed	0.9637875	0.9380432998070724	2399	600	1000	1999	0	honest_trainval_test
KHDRBS2	KHDRBS2	htr_selex	logistic_regression	KH	KH	computed	0.9556516290726816	0.9247549568222467	2392	599	1000	1991	0	honest_trainval_test
KHDRBS3	KHDRBS3	htr_selex	logistic_regression	KH	KH	computed	0.9275125	0.8773988704472061	2399	600	1000	1999	0	honest_trainval_test
MEX3C	MEX3C	htr_selex	logistic_regression	KH	KH	computed	0.9500879396984925	0.902719287286918	2388	598	1000	1986	0	honest_trainval_test
MSI1	MSI1	htr_selex	logistic_regression	RRM	RRM;RRM	computed	0.94575	0.9235082084485544	2396	600	1000	1996	0	honest_trainval_test
PABPC5	PABPC5	htr_selex	logistic_regression	RRM	RRM;RRM;RRM;RRM	computed	0.925775	0.8724058170508113	2400	600	1000	2000	0	honest_trainval_test
PCBP1	PCBP1	htr_selex	logistic_regression	KH	KH;KH;KH	computed	0.9601125	0.9284745466823741	2399	600	1000	1999	0	honest_trainval_test
