protein_name	split
BOLL	train
CARHSP1	train
CELF1-construct2	train
CELF3-construct2	train
CELF4	train
CELF4-construct2	train
CSDA	val
CSTF2	train
CSTF2T	test
DAZ1	train
DAZ1-construct2	train
DAZ1-construct3	val
DAZ3	test
DAZ4	test
DAZAP1	test
DAZL	train
ELAVL1	train
ELAVL3	train
ELAVL4	train
ESRP1-construct3	test
HEXIM1	train
HEXIM2	train
HNRNPA0	val
HNRNPA1	train
HNRNPA1L2	train
HNRNPA3	train
HNRNPC	train
HNRNPCL1	train
HNRNPL-construct2	train
HNRPLL	train
IGF2BP1	train
IGF2BP1-construct4	train
KHDRBS1	train
KHDRBS2	train
KHDRBS3	train
LARP6	test
LARP7-construct4	test
MCM3AP	train
MEX3B-construct3	train
MEX3C	train
MEX3D	train
MEX3D-construct3	val
MKRN1	train
MSI1	train
MSI2	train
NOVA2-construct3	train
PABPC5	train
PCBP1	test
PUM1	train
PUM2	val
QKI	train
RALY	train
RBFOX1	train
RBFOX1-construct2	test
RBFOX1-construct4	val
RBFOX3	train
RBM14	train
RBM24	train
RBM28	val
RBM38	train
RBM4	train
RBM42	train
RBM46	train
RBM4B	train
RBM6	test
RBMS1	test
RBMS2	test
RBMS3	train
RBMY1E	train
RBMY1F	train
RBMY1J	train
RBPMS	train
RBPMS2	train
RC3H1-construct2	train
RC3H2	train
RNPC3	train
SART3	train
SNRNP70	test
SNRPA	val
SNRPB2	train
TARDBP	train
THUMPD1	val
YBX1	train
YBX2	val
ZC3H10	train
ZC3H12A	train
ZC3H12B	train
ZC3H12C	train
ZC3H8	train
ZCRB1	train
ZFP36	train
ZFR-construct4	train
ZRANB2	train
