protein_key	train_protein_name	test_protein_name	train_protocol	test_protocol	model	domain_class	domain_architecture	auroc	auprc	n_train	n_test	n_pos_train	n_neg_train	n_pos_test	n_neg_test	n_deduped_removed_train	n_deduped_removed_test	n_exact_rna_overlap	exact_rna_overlap_fraction_of_test
TARDBP	TARDBP	TARDBP	htr_selex	rbns	logistic_regression	RRM	RRM;RRM	0.8117515000000001	0.6924474539546279	3000	3000	1000	2000	1000	2000	0	0	0	0.0
HNRNPC	HNRNPC	HNRNPC	htr_selex	rbns	logistic_regression	RRM	RRM	0.989736	0.9867094546614973	2999	3000	1000	1999	1000	2000	0	0	0	0.0
RBM24	RBM24	RBM24	htr_selex	rbns	logistic_regression	RRM	RRM	0.9383455000000002	0.8835642323789044	2966	3000	1000	1966	1000	2000	0	0	0	0.0
DAZAP1	DAZAP1	DAZAP1	htr_selex	rbns	logistic_regression	RRM	RRM;RRM	0.394447	0.28008826024692957	2999	3000	1000	1999	1000	2000	0	0	0	0.0
ESRP1	ESRP1-construct3	ESRP1	htr_selex	rbns	logistic_regression	RRM	RRM;RRM	0.567341	0.3758906351364114	2999	3000	1000	1999	1000	2000	0	0	0	0.0
HNRNPA0	HNRNPA0	HNRNPA0	htr_selex	rbns	logistic_regression	RRM	RRM;RRM	0.5621725	0.3701600845446582	2999	3000	1000	1999	1000	2000	0	0	0	0.0
HNRNPA1L2	HNRNPA1L2	HNRNPA1L2	htr_selex	rbns	logistic_regression	RRM	RRM;RRM	0.6333630000000001	0.4721392867269552	2957	3000	1000	1957	1000	2000	0	0	0	0.0
HNRNPCL1	HNRNPCL1	HNRNPCL1	htr_selex	rbns	logistic_regression	RRM	RRM	0.9773755	0.9654938793320892	2996	3000	1000	1996	1000	2000	0	0	0	0.0
HNRNPL	HNRNPL-construct2	HNRNPL	htr_selex	rbns	logistic_regression	RRM	RRM;RRM;RRM;RRM	0.9301855000000001	0.8863967358141628	3000	3000	1000	2000	1000	2000	0	0	0	0.0
IGF2BP1	IGF2BP1	IGF2BP1	htr_selex	rbns	logistic_regression	unknown		0.30323599999999995	0.2373158500256719	2996	3000	1000	1996	1000	2000	0	0	0	0.0
KHDRBS2	KHDRBS2	KHDRBS2	htr_selex	rbns	logistic_regression	KH	KH	0.942461	0.9006763604083905	2991	3000	1000	1991	1000	2000	0	0	0	0.0
KHDRBS3	KHDRBS3	KHDRBS3	htr_selex	rbns	logistic_regression	KH	KH	0.9253224999999999	0.8726009350563919	2999	3000	1000	1999	1000	2000	0	0	0	0.0
MSI1	MSI1	MSI1	htr_selex	rbns	logistic_regression	RRM	RRM;RRM	0.8221225000000001	0.7200513977500314	2996	3000	1000	1996	1000	2000	0	0	0	0.0
PCBP1	PCBP1	PCBP1	htr_selex	rbns	logistic_regression	KH	KH;KH;KH	0.7972390000000001	0.6373607671988601	2999	3000	1000	1999	1000	2000	0	0	0	0.0
RBM4	RBM4	RBM4	htr_selex	rbns	logistic_regression	multi	RRM;RRM;CCHC	0.848418	0.7359917965130873	3000	3000	1000	2000	1000	2000	0	0	0	0.0
RBM6	RBM6	RBM6	htr_selex	rbns	logistic_regression	RRM	RRM;RRM	0.4297035	0.29939796691556286	3000	3000	1000	2000	1000	2000	0	0	0	0.0
RBMS3	RBMS3	RBMS3	htr_selex	rbns	logistic_regression	RRM	RRM;RRM	0.6154835	0.44030754273698386	2994	3000	1000	1994	1000	2000	0	0	0	0.0
SNRPA	SNRPA	SNRPA	htr_selex	rbns	logistic_regression	RRM	RRM;RRM	0.9562955	0.9023538299763108	2999	3000	1000	1999	1000	2000	0	0	0	0.0
SNRPB2	SNRPB2	SNRPB2	htr_selex	rbns	logistic_regression	RRM	RRM;RRM	0.9600070000000002	0.9066402094019946	2986	3000	1000	1986	1000	2000	0	0	0	0.0
YBX2	YBX2	YBX2	htr_selex	rbns	logistic_regression	CSD	CSD	0.6143289999999999	0.41555909113219447	2999	3000	1000	1999	1000	2000	0	0	0	0.0
ZCRB1	ZCRB1	ZCRB1	htr_selex	rbns	logistic_regression	multi	RRM;CCHC	0.8866780000000001	0.783150102350426	3000	3000	1000	2000	1000	2000	0	0	0	0.0
BOLL	BOLL	BOLL	htr_selex	rbns	logistic_regression	unknown		0.676029	0.5053711068270751	2994	3000	1000	1994	1000	2000	0	0	0	0.0
CELF1	CELF1-construct2	CELF1	htr_selex	rbns	logistic_regression	unknown		0.7486155	0.6099047344692706	2999	3000	1000	1999	1000	2000	0	0	0	0.0
DAZ3	DAZ3	DAZ3	htr_selex	rbns	logistic_regression	unknown		0.7103964999999999	0.5509338543571698	3000	3000	1000	2000	1000	2000	0	0	0	0.0
ELAVL4	ELAVL4	ELAVL4	htr_selex	rbns	logistic_regression	unknown		0.8616115	0.7771382851389256	2997	3000	1000	1997	1000	2000	0	0	0	0.0
PUM1	PUM1	PUM1	htr_selex	rbns	logistic_regression	unknown		0.6311334999999999	0.45321163199566306	2993	3000	1000	1993	1000	2000	0	0	0	0.0
RBFOX3	RBFOX3	RBFOX3	htr_selex	rbns	logistic_regression	unknown		0.9387865	0.8715244077269203	2998	3000	1000	1998	1000	2000	0	0	0	0.0
