protein_name	domain_architecture	n_hyb_ids	mean_positive_intensity	hyb_ids
MEX-5	CCCH;CCCH	1	6.175454089591568	RNCMPT00039
ZC3H10	CCCH;CCCH;CCCH	1	8.13282668458712	RNCMPT00085
MBNL1	CCCH;CCCH;CCCH;CCCH	1	6.736614298267328	RNCMPT00038
ZC3H14	CCCH;CCCH;CCCH;CCCH;CCCH	1	4.70390083715847	RNCMPT00086
YBX1	CSD	2	26.16850317745961	RNCMPT00083;RNCMPT00116
LIN28A	CSD;CCHC;CCHC	2	4.619228154941033	RNCMPT00036;RNCMPT00162
MUB	KH	1	29.816571064147812	RNCMPT00137
CG11360	KH;KH	1	13.384541456286684	RNCMPT00129
PCBP3	KH;KH;KH	1	6.825792186614936	RNCMPT00215
PUM	Pumillo	6	17.167115973685462	RNCMPT00046;RNCMPT00101;RNCMPT00102;RNCMPT00103;RNCMPT00104;RNCMPT00105
A2BP1	RRM	1	37.76250219983927	RNCMPT00123
ZCRB1	RRM;CCHC	1	10.952545313860861	RNCMPT00087
SF2	RRM;RRM	1	49.91861374601648	RNCMPT00066
RBM4	RRM;RRM;CCHC	2	28.041162367419357	RNCMPT00052;RNCMPT00113
IGF2BP2	RRM;RRM;KH;KH;KH;KH	1	4.375267638468593	RNCMPT00033
EXC-7	RRM;RRM;RRM	1	18.67649729653517	RNCMPT00014
PABPC4	RRM;RRM;RRM;RRM	1	12.835975624747197	RNCMPT00043
RBM5	RRM;RanBP;RRM	2	3.71283575873494	RNCMPT00055;RNCMPT00154
EIF-2ALPHA	S1	1	2.500127765726681	RNCMPT00273
Vts1p	SAM	2	15.319953306925106	RNCMPT00082;RNCMPT00111
