protein_name	domain_architecture	n_hyb_ids	mean_positive_intensity	hyb_ids
Tb927.6.4960	CCCH	1	6.223992234565585	RNCMPT00833
Tb927.7.2140	CCCH;CCCH	1	4.835738831547937	RNCMPT00834
MBNL2	CCCH;CCCH;CCCH;CCCH	1	7.872701592439577	RNCMPT00401
NEMVEDRAFT_v1g141408	KH	1	10.990796249018839	RNCMPT00718
CBG00421	KH;CCHC;CCHC	1	6.256359253515033	RNCMPT00840
PK20300.1	KH;KH	1	8.355801870569174	RNCMPT00360
PF14_0151	KH;KH;KH	1	4.401727495784148	RNCMPT00505
FUBP1	KH;KH;KH;KH	1	6.154041957283417	RNCMPT00822
RBFOX2	RRM	1	21.34969464563577	RNCMPT00818
SCHCODRAFT_104251	RRM;CCHC	1	5.018968552353156	RNCMPT00866
LmjF.29.1350	RRM;RRM	1	13.603219304551121	RNCMPT00713
LmjF.24.1570	RRM;RRM;RRM	1	24.98212096953569	RNCMPT00761
LmjF.27.2100	RRM;RRM;RRM;CCHC	1	3.3955751105590064	RNCMPT00667
nrd1	RRM;RRM;RRM;RRM	1	9.865825981098288	RNCMPT00414
