protein_key	protein_name	n_protocols	protocols	protocol_set	name_in_htr_selex	all_names_in_htr_selex	rep_rule_in_htr_selex	in_htr_selex	name_in_rbns	all_names_in_rbns	rep_rule_in_rbns	in_rbns	name_in_rnacompete_eukarya	all_names_in_rnacompete_eukarya	rep_rule_in_rnacompete_eukarya	in_rnacompete_eukarya	name_in_rnacompete_rbpzoo	all_names_in_rnacompete_rbpzoo	rep_rule_in_rnacompete_rbpzoo	in_rnacompete_rbpzoo	name_in_eclip	all_names_in_eclip	rep_rule_in_eclip	in_eclip	domain_architecture	domain_boundaries	domain_class	domain_species	table_s1_name	domain_n_constructs	domain_match_status	domain_architectures_all
TARDBP	TARDBP	5	eclip;htr_selex;rbns;rnacompete_eukarya;rnacompete_rbpzoo	eclip|htr_selex|rbns|rnacompete_eukarya|rnacompete_rbpzoo	TARDBP	TARDBP	unique	1	TARDBP	TARDBP	unique	1	TARDBP	TARDBP	unique	1	tardbp	tardbp	unique	1	TARDBP	TARDBP	unique	1	RRM;RRM	46;127;133;209	RRM	Homo sapiens	TARDBP	2	multiple_constructs_same_architecture	RRM;RRM
HNRNPC	HNRNPC	4	eclip;htr_selex;rbns;rnacompete_eukarya	eclip|htr_selex|rbns|rnacompete_eukarya	HNRNPC	HNRNPC	unique	1	HNRNPC	HNRNPC	unique	1	HNRNPC	HNRNPC	unique	1				0	HNRNPC	HNRNPC	unique	1	RRM	13;89	RRM	Homo sapiens	HNRNPC	1	unique	RRM
RBM24	RBM24	4	htr_selex;rbns;rnacompete_eukarya;rnacompete_rbpzoo	htr_selex|rbns|rnacompete_eukarya|rnacompete_rbpzoo	RBM24	RBM24	unique	1	RBM24	RBM24	unique	1	RBM24	RBM24;Rbm24	prefer_plain_shortest_stable	1	RBM24	RBM24	unique	1				0	RRM	8;87	RRM	Homo sapiens	RBM24	2	multiple_constructs_same_architecture	RRM
DAZAP1	DAZAP1	3	htr_selex;rbns;rnacompete_eukarya	htr_selex|rbns|rnacompete_eukarya	DAZAP1	DAZAP1	unique	1	DAZAP1	DAZAP1	unique	1	DAZAP1	DAZAP1	unique	1				0				0	RRM;RRM	7;88;110;192	RRM	Homo sapiens	DAZAP1	1	unique	RRM;RRM
ELAVL1	ELAVL1	3	eclip;htr_selex;rnacompete_eukarya	eclip|htr_selex|rnacompete_eukarya	ELAVL1	ELAVL1	unique	1				0	HuR	HuR	unique	1				0	ELAVL1	ELAVL1	unique	1	RRM;RRM;RRM	18;100;103;188;242;324	RRM	Homo sapiens	ELAVL1	1	unique	RRM;RRM;RRM
ESRP1	ESRP1-construct3	3	htr_selex;rbns;rnacompete_rbpzoo	htr_selex|rbns|rnacompete_rbpzoo	ESRP1-construct3	ESRP1-construct3	unique	1	ESRP1	ESRP1	unique	1				0	ESRP1	ESRP1	unique	1				0	RRM;RRM	46;128;147;232	RRM	Homo sapiens	ESRP1	1	unique	RRM;RRM
FUS	FUS	3	eclip;rbns;rnacompete_eukarya	eclip|rbns|rnacompete_eukarya				0	FUS	FUS	unique	1	FUS	FUS	unique	1				0	FUS	FUS	unique	1	RRM	46;137	RRM	Homo sapiens	FUS	1	unique	RRM
HNRNPA0	HNRNPA0	3	htr_selex;rbns;rnacompete_rbpzoo	htr_selex|rbns|rnacompete_rbpzoo	HNRNPA0	HNRNPA0	unique	1	HNRNPA0	HNRNPA0	unique	1				0	hnrnpa0	hnrnpa0	unique	1				0	RRM;RRM	9;91;100;182	RRM	Xenopus tropicalis	hnrnpa0	1	unique	RRM;RRM
HNRNPA1	HNRNPA1	3	eclip;htr_selex;rnacompete_eukarya	eclip|htr_selex|rnacompete_eukarya	HNRNPA1	HNRNPA1	unique	1				0	HNRNPA1	HNRNPA1	unique	1				0	HNRNPA1	HNRNPA1	unique	1	RRM;RRM	11;93;102;184	RRM	Homo sapiens	HNRNPA1	1	unique	RRM;RRM
HNRNPA1L2	HNRNPA1L2	3	htr_selex;rbns;rnacompete_eukarya	htr_selex|rbns|rnacompete_eukarya	HNRNPA1L2	HNRNPA1L2	unique	1	HNRNPA1L2	HNRNPA1L2	unique	1	HNRNPA1L2	HNRNPA1L2	unique	1				0				0	RRM;RRM	11;93;102;184	RRM	Homo sapiens	HNRNPA1L2	1	unique	RRM;RRM
