protein_name	mean_positive_intensity	protein_length_aa	n_probes_best_experiment	n_positives	experiment_id	intensity_rank
ARET	55.92131291120247	604	15502	4865	RNCMPT00003	1
SF2	49.91861374601648	245	23132	7280	RNCMPT00066	2
BRU-3	41.033097811551436	416	15074	4744	RNCMPT00122	3
A2BP1	37.76250219983927	169	11917	3733	RNCMPT00123	4
SRSF1	36.71756766816287	202	19885	6238	RNCMPT00109	5
YBX1	34.526468565229486	324	11593	3595	RNCMPT00083	6
PUM	33.92007547561984	338	15493	4840	RNCMPT00101	7
Hrp1p	30.370094948234733	194	13436	4192	RNCMPT00031	8
RBM4	30.306691174221847	177	15342	4787	RNCMPT00052	9
MUB	29.816571064147812	96	15187	4817	RNCMPT00137	10
CG14718	27.431925873484847	179	12696	3960	RNCMPT00006	11
B52	25.50743048533041	241	23238	7294	RNCMPT00134	12
HuR	23.976203711309523	325	19308	6048	RNCMPT00032	13
RBFOX1	21.75173699749104	169	17706	5580	RNCMPT00168	14
SRSF10	20.956062952146485	92	20673	6499	RNCMPT00088	15
ORB2	20.92346780015777	273	12118	3803	RNCMPT00126	16
MSI	20.612145604006525	258	13852	4293	RNCMPT00100	17
LARK	19.802045140387417	207	15381	4801	RNCMPT00097	18
CPO	19.008111188783435	183	18476	5795	RNCMPT00133	19
EXC-7	18.67649729653517	456	21116	6667	RNCMPT00014	20
CPEB4	17.7296831967112	278	15553	4865	RNCMPT00158	21
RBP9	16.5988947652453	383	14039	4362	RNCMPT00132	22
Tb_0219	16.293690328906376	262	19342	6099	RNCMPT00219	23
Vts1p	16.232787256207676	86	8357	2658	RNCMPT00082	24
HNRNPC	15.87020819935756	131	15901	4981	RNCMPT00025	25
HRB98DE	15.577996428679674	191	16813	5279	RNCMPT00096	26
HRB27C	15.563921275855174	218	16017	4999	RNCMPT00028	27
FOX-1	15.143881319867935	415	16302	5149	RNCMPT00017	28
Lm_0212	14.735860465337131	235	16735	5265	RNCMPT00212	29
CG2950	14.01435921555764	164	13714	4268	RNCMPT00007	30
TIAR-3	13.982720428571428	275	14112	4403	RNCMPT00005	31
CG11360	13.384541456286684	271	10251	3237	RNCMPT00129	32
HRB87F	13.325454903772133	236	16576	5196	RNCMPT00029	33
PABPC4	12.835975624747197	414	17383	5439	RNCMPT00043	34
ANKHD1	12.55758839791438	163	28810	9110	RNCMPT00002	35
MSI1	12.093453170438062	362	21766	6894	RNCMPT00176	36
FNE	11.961044151791675	356	14338	4493	RNCMPT00120	37
Sf3b4	11.848233720470127	212	16151	5105	RNCMPT00224	38
Tv_0259	11.845388654769737	248	19331	6080	RNCMPT00259	39
