protein_key	protein_name_roster	source	table_s1_name	species	domain_architecture	domain_class	domain_boundaries_raw	domain_intervals	n_domain_intervals	construct_aa_len	has_construct_seq	n_table_s1_constructs	architecture_ambiguous	uniprot_id	rnacompete_ids
TARDBP	TARDBP	table_s1	TARDBP	Homo sapiens	RRM;RRM	RRM	46;127;133;209	46-127;133-209	2	260	1	2	0		RNCMPT00076
HNRNPC	HNRNPC	table_s1	HNRNPC	Homo sapiens	RRM	RRM	13;89	13-89	1	131	1	1	0		RNCMPT00025
RBM24	RBM24	table_s1	RBM24	Homo sapiens	RRM	RRM	8;87	8-87	1	131	1	2	0		RNCMPT00184
DAZAP1	DAZAP1	table_s1	DAZAP1	Homo sapiens	RRM;RRM	RRM	7;88;110;192	7-88;110-192	2	378	1	1	0		RNCMPT00013
ELAVL1	ELAVL1	table_s1	ELAVL1	Homo sapiens	RRM;RRM;RRM	RRM	18;100;103;188;242;324	18-100;103-188;242-324	3	325	1	1	0		RNCMPT00032;RNCMPT00112;RNCMPT00117;RNCMPT00136;RNCMPT00274
ESRP1	ESRP1-construct3	table_s1	ESRP1	Homo sapiens	RRM;RRM	RRM	46;128;147;232	46-128;147-232	2	315	1	1	0		RNCMPT00808
FUS	FUS	table_s1	FUS	Homo sapiens	RRM	RRM	46;137	46-137	1	179	1	1	0		RNCMPT00018
HNRNPA0	HNRNPA0	table_s1	hnrnpa0	Xenopus tropicalis	RRM;RRM	RRM	9;91;100;182	9-91;100-182	2	224	1	1	0		RNCMPT00684
HNRNPA1	HNRNPA1	table_s1	HNRNPA1	Homo sapiens	RRM;RRM	RRM	11;93;102;184	11-93;102-184	2	226	1	1	0		RNCMPT00022
HNRNPA1L2	HNRNPA1L2	table_s1	HNRNPA1L2	Homo sapiens	RRM;RRM	RRM	11;93;102;184	11-93;102-184	2	226	1	1	0		RNCMPT00023
HNRNPCL1	HNRNPCL1	table_s1	HNRNPCL1	Homo sapiens	RRM	RRM	13;89	13-89	1	131	1	1	0		RNCMPT00167
HNRNPL	HNRNPL-construct2	table_s1	HNRNPL	Homo sapiens	RRM;RRM;RRM;RRM	RRM	68;147;161;241;348;427;467;552	68-147;161-241;348-427;467-552	4	558	1	1	0		RNCMPT00027;RNCMPT00091
IGF2BP1	IGF2BP1	uniprot_tsv		Homo sapiens	RRM;RRM;KH;KH;KH;KH	multi		2-75;81-156;195-260;276-343;405-470;487-553	6	0	0	0	0	Q9NZI8	
KHDRBS2	KHDRBS2	table_s1	KHDRBS2	Homo sapiens	KH	KH	51;113	51-113	1	181	1	1	0		RNCMPT00185
KHDRBS3	KHDRBS3	table_s1	KHDRBS3	Homo sapiens	KH	KH	61;112	61-112	1	183	1	1	0		RNCMPT00034
MSI1	MSI1	table_s1	MSI1	Homo sapiens	RRM;RRM	RRM	17;99;106;188	17-99;106-188	2	230	1	1	0		RNCMPT00041;RNCMPT00176
PCBP1	PCBP1	table_s1	PCBP1	Homo sapiens	KH;KH;KH	KH	15;75;99;162;281;343	15-75;99-162;281-343	3	356	1	2	0		RNCMPT00186
