protein_name	hyb_id	domain_architecture	mean_positive_intensity
MEX-5	RNCMPT00039	CCCH;CCCH	6.175454089591568
ZC3H10	RNCMPT00085	CCCH;CCCH;CCCH	8.13282668458712
MBNL1	RNCMPT00038	CCCH;CCCH;CCCH;CCCH	6.736614298267328
ZC3H14	RNCMPT00086	CCCH;CCCH;CCCH;CCCH;CCCH	4.70390083715847
YBX1	RNCMPT00083	CSD	34.526468565229486
LIN28A	RNCMPT00036	CSD;CCHC;CCHC	5.4622001452892235
MUB	RNCMPT00137	KH	29.816571064147812
CG11360	RNCMPT00129	KH;KH	13.384541456286684
PCBP3	RNCMPT00215	KH;KH;KH	6.825792186614936
PUM	RNCMPT00101	Pumillo	33.92007547561984
A2BP1	RNCMPT00123	RRM	37.76250219983927
ZCRB1	RNCMPT00087	RRM;CCHC	10.952545313860861
SF2	RNCMPT00066	RRM;RRM	49.91861374601648
RBM4	RNCMPT00052	RRM;RRM;CCHC	30.306691174221847
IGF2BP2	RNCMPT00033	RRM;RRM;KH;KH;KH;KH	4.375267638468593
ARET	RNCMPT00003	RRM;RRM;RRM	55.92131291120247
PABPC4	RNCMPT00043	RRM;RRM;RRM;RRM	12.835975624747197
RBM5	RNCMPT00055	RRM;RanBP;RRM	4.837441188692706
EIF-2ALPHA	RNCMPT00273	S1	2.500127765726681
Vts1p	RNCMPT00082	SAM	16.232787256207676
