protein_name_native	protein_key	domain_architecture	domain_boundaries	species	hyb_ids	rnacompete_ids	mean_top10_z	domain_class
A1CF	A1CF	RRM;RRM;RRM	46;125;126;213;222;298	Homo sapiens	630	RNCMPT00001	12.58	RRM
ANKHD1	ANKHD1	KH	51;113	Homo sapiens	624	RNCMPT00002	22.83	KH
aret	ARET	RRM;RRM;RRM	148;234;235;321;517;600	Drosophila melanogaster	83;97	RNCMPT00003;RNCMPT00114		RRM
CELF4	CELF4	RRM;RRM;RRM;RRM	46;132;144;229;413;440;437;476	Homo sapiens	712	RNCMPT00004	7.26	RRM
tiar-3	TIAR3	RRM;RRM	47;130;149;225	Caenorhabditis elegans	688	RNCMPT00005	11.02	RRM
CG14718	CG14718	RRM	46;134	Drosophila melanogaster	323	RNCMPT00006	11.94	RRM
mxt	MXT	KH	51;114	Drosophila melanogaster	334	RNCMPT00007	13.94	KH
Cnot4	CNOT4	RRM	46;134	Drosophila melanogaster	477	RNCMPT00008	12.45	RRM
CG33714	CG33714	RRM	12;90	Drosophila melanogaster	453	RNCMPT00009	5.74	RRM
CG5213	CG5213	RRM;RRM	38;121;124;209	Drosophila melanogaster	472	RNCMPT00010	11.75	RRM
papi	PAPI	KH;KH	67;127;138;199	Drosophila melanogaster	27	RNCMPT00011	17.66	KH
CPEB2	CPEB2	RRM;RRM	46;117;154;236	Homo sapiens	548	RNCMPT00012	10.78	RRM
DAZAP1	DAZAP1	RRM;RRM	7;88;110;192	Homo sapiens	721	RNCMPT00013	7.92	RRM
exc-7	EXC7	RRM;RRM;RRM	39;122;125;210;371;453	Caenorhabditis elegans	691	RNCMPT00014	13.65	RRM
Fmr1	FMR1	KH;KH	51;110;114;177	Drosophila melanogaster	519	RNCMPT00015	5.76	KH
FMR1	FMR1	KH;KH	51;110;114;165	Homo sapiens	699	RNCMPT00016	5.05	KH
fox-1	FOX1	RRM	150;231	Caenorhabditis elegans	682	RNCMPT00017	24.8	RRM
FUS	FUS	RRM	46;137	Homo sapiens	644	RNCMPT00018	5.52	RRM
SRSF10	SRSF10	RRM	7;90	Homo sapiens	121;149;158;397	RNCMPT00019;RNCMPT00088;RNCMPT00089;RNCMPT00090		RRM
FXR2	FXR2	KH;KH	51;110;114;182	Homo sapiens	609	RNCMPT00020	4.94	KH
G3BP2	G3BP2	RRM	46;129	Homo sapiens	616	RNCMPT00021	8.75	RRM
HNRNPA1	HNRNPA1	RRM;RRM	11;93;102;184	Homo sapiens	607	RNCMPT00022	10.01	RRM
HNRNPA1L2	HNRNPA1L2	RRM;RRM	11;93;102;184	Homo sapiens	694	RNCMPT00023	7.23	RRM
HNRNPA2B1	HNRNPA2B1	RRM;RRM	18;100;109;191	Homo sapiens	613	RNCMPT00024	8.86	RRM
HNRNPC	HNRNPC	RRM	13;89	Homo sapiens	704	RNCMPT00025	15.85	RRM
HNRNPK	HNRNPK	KH;KH;KH	44;104;146;209;389;451	Homo sapiens	734	RNCMPT00026	5.45	KH
HNRNPL	HNRNPL	RRM;RRM;RRM;RRM	68;147;161;241;348;427;467;552	Homo sapiens	675;717	RNCMPT00027;RNCMPT00091		RRM
Hrb27C	HRB27C	RRM;RRM	4;86;94;175	Drosophila melanogaster	348;386	RNCMPT00028;RNCMPT00093		RRM
Hrb87F	HRB87F	RRM;RRM	21;103;112;194	Drosophila melanogaster	174	RNCMPT00029	13.39	RRM
HRP1	HRP1	RRM;RRM	16;97;100;182	Saccharomyces cerevisiae	119	RNCMPT00031	23.38	RRM
ELAVL1	ELAVL1	RRM;RRM;RRM	18;100;103;188;242;324	Homo sapiens	398;25;134;380;842	RNCMPT00032;RNCMPT00112;RNCMPT00117;RNCMPT00136;RNCMPT00274		RRM
IGF2BP2	IGF2BP2	RRM;RRM;KH;KH;KH;KH	1;78;79;159;195;258;276;341;429;492;511;575	Homo sapiens	651	RNCMPT00033	5.73	multi
KHDRBS3	KHDRBS3	KH	61;112	Homo sapiens	547	RNCMPT00034	9.52	KH
lark	LARK	RRM;RRM;CCHC	4;79;83;158;168;185	Drosophila melanogaster	289;290;271	RNCMPT00035;RNCMPT00097;RNCMPT00124		multi
LIN28A	LIN28A	CSD;CCHC;CCHC	40;112;137;154;159;176	Homo sapiens	751;621	RNCMPT00036;RNCMPT00162		multi
MATR3	MATR3	RRM;RRM	34;114;132;212	Homo sapiens	568	RNCMPT00037	5.42	RRM
MBNL1	MBNL1	CCCH;CCCH;CCCH;CCCH	15;40;57;72;180;206;217;240	Homo sapiens	732	RNCMPT00038	11.2	CCCH
mex-5	MEX5	CCCH;CCCH	271;298;315;343	Caenorhabditis elegans	136	RNCMPT00039	18.02	CCCH
msi	MSI	RRM	11;93	Drosophila melanogaster	80	RNCMPT00040	12.51	RRM
MSI1	MSI1	RRM;RRM	17;99;106;188	Homo sapiens	622;665	RNCMPT00041;RNCMPT00176		RRM
NAB2	NAB2	CCCH;CCCH;CCCH	12;29;34;51;55;72	Saccharomyces cerevisiae	129	RNCMPT00042	6.1	CCCH
PABPC4	PABPC4	RRM;RRM;RRM;RRM	9;90;97;177;189;270;292;372	Homo sapiens	656	RNCMPT00043	12.17	RRM
PCBP2	PCBP2	KH;KH;KH	15;75;99;162;259;321	Homo sapiens	750	RNCMPT00044	3.74	KH
PPRC1	PPRC1	RRM	46;119	Homo sapiens	555	RNCMPT00045	5.0	RRM
pum	PUM	Pumillo	51;341	Drosophila melanogaster	363;141;230;355;356;482	RNCMPT00046;RNCMPT00101;RNCMPT00102;RNCMPT00103;RNCMPT00104;RNCMPT00105		PUM
QKI	QKI	KH	95;179	Homo sapiens	718	RNCMPT00047	6.41	KH
RBM28	RBM28	RRM;RRM;RRM;RRM	3;82;111;193;332;421;485;575	Homo sapiens	652	RNCMPT00049	7.8	RRM
RBM3	RBM3	RRM	3;86	Homo sapiens	654	RNCMPT00050	7.1	RRM
Rbm38	RBM38	RRM	4;83	Mus musculus	111	RNCMPT00051	17.04	RRM
RBM4	RBM4	RRM;RRM;CCHC	1;74;75;149;160;177	Homo sapiens	135;73	RNCMPT00052;RNCMPT00113		multi
RBM41	RBM41	RRM	46;129	Homo sapiens	606	RNCMPT00053	10.69	RRM
RBM46	RBM46	RRM;RRM;RRM	46;128;126;213;221;298	Homo sapiens	544	RNCMPT00054	8.4	RRM
RBM5	RBM5	RRM;RanBP;RRM	95;180;181;210;231;317	Homo sapiens	673;566	RNCMPT00055;RNCMPT00154		multi
RBM8A	RBM8A	RRM	50;127	Homo sapiens	549	RNCMPT00056	4.37	RRM
RBMS3	RBMS3	RRM;RRM	46;122;125;213	Homo sapiens	702;648	RNCMPT00057;RNCMPT00173		RRM
Rbp1	RBP1	RRM	8;86	Drosophila melanogaster	483	RNCMPT00058	9.03	RRM
Ref2	REF2	RRM	46;128	Drosophila melanogaster	526	RNCMPT00059	5.75	RRM
Rnp4F	RNP4F	RRM	47;127	Drosophila melanogaster	446	RNCMPT00060	5.2	RRM
Rsf1	RSF1	RRM	7;84	Drosophila melanogaster	524	RNCMPT00061	10.57	RRM
Khdrbs1	KHDRBS1	KH	156;218	Mus musculus	733	RNCMPT00062	7.39	KH
SAMD4A	SAMD4A	SAM	51;111	Homo sapiens	617	RNCMPT00063	15.89	SAM
SART3	SART3	RRM;RRM	46;129;143;225	Homo sapiens	573	RNCMPT00064	11.05	RRM
SF1	SF1	KH	51;136	Drosophila melanogaster	238	RNCMPT00065	9.28	KH
SF2	SF2	RRM;RRM	4;82;112;192	Drosophila melanogaster	157	RNCMPT00066	14.11	RRM
SRSF9	SRSF9	RRM;RRM	11;91;108;189	Homo sapiens	584;743	RNCMPT00067;RNCMPT00074		RRM
shep	SHEP	RRM;RRM	17;95;107;189	Drosophila melanogaster	664;662;663	RNCMPT00068;RNCMPT00174;RNCMPT00175		RRM
sm	SM	RRM;RRM;RRM	41;121;199;278;320;395	Drosophila melanogaster	314	RNCMPT00069	11.21	RRM
SNRNP70	SNRNP70	RRM	47;128	Homo sapiens	619	RNCMPT00070	8.16	RRM
SNRPA	SNRPA	RRM;RRM	7;91;205;282	Homo sapiens	655	RNCMPT00071	10.95	RRM
SRSF2	SRSF2	RRM	11;94	Homo sapiens	736	RNCMPT00072	5.69	RRM
SRSF7	SRSF7	RRM;CCHC	8;84;104;120	Homo sapiens	737	RNCMPT00073	11.33	multi
TUT1	TUT1	RRM	91;168	Homo sapiens	668	RNCMPT00075	4.2	RRM
TARDBP	TARDBP	RRM;RRM	46;127;133;209	Homo sapiens	588	RNCMPT00076	9.33	RRM
TIA1	TIA1	RRM;RRM;RRM	4;85;92;174;200;275	Homo sapiens	725;626	RNCMPT00077;RNCMPT00165		RRM
tra2	TRA2	RRM	46;129	Drosophila melanogaster	404	RNCMPT00078	7.09	RRM
U2AF2	U2AF2	RRM;RRM;RRM	46;133;156;237;293;368	Homo sapiens	713	RNCMPT00079	16.96	RRM
U2af50	U2AF50	RRM;RRM;RRM	46;133;160;241;296;366	Drosophila melanogaster	391	RNCMPT00080	12.8	RRM
unc-75	UNC75	RRM;RRM;RRM	26;112;121;206;426;509	Caenorhabditis elegans	690	RNCMPT00081	10.38	RRM
VTS1	VTS1	SAM	18;70	Saccharomyces cerevisiae	285;65	RNCMPT00082;RNCMPT00111		SAM
YBX1	YBX1	CSD	59;128	Homo sapiens	52;120	RNCMPT00083;RNCMPT00116		CSD
YBX2	YBX2	CSD	94;163	Homo sapiens	706	RNCMPT00084	9.95	CSD
ZC3H10	ZC3H10	CCCH;CCCH;CCCH	38;62;79;98;135;160	Homo sapiens	649	RNCMPT00085	16.62	CCCH
ZC3H14	ZC3H14	CCCH;CCCH;CCCH;CCCH;CCCH	600;618;621;639;640;657;681;698;700;717	Homo sapiens	735	RNCMPT00086	5.31	CCCH
ZCRB1	ZCRB1	RRM;CCHC	7;89;105;122	Homo sapiens	637	RNCMPT00087	12.04	multi
Hrb98DE	HRB98DE	RRM;RRM	28;110;119;201	Drosophila melanogaster	77;82;384	RNCMPT00094;RNCMPT00095;RNCMPT00096		RRM
